,code,filmo,movie_code,average_audience
12370,20196223,연애담,20159286,0
12391,20246989,워킹 스트리트,20162546,0
12408,20139302,남쪽으로 간다,20121072,0
12356,10025047,로그 원: 스타워즈 스토리,20163183,555718
12377,20227228,작은 형,20149258,0
12438,10053708,돈 크라이 마미,20124348,1080383
12431,10081054,잭 리처: 네버 고 백,20166363,1475626
12385,10028892,형,20154661,2691661
12474,10060576,자칼이 온다,20126089,0
12369,20223787,연애담,20159286,0
12400,10062964,스퀴즈,20162829,924428
12493,20166705,우리 손자 베스트,20163011,9362
12455,10055024,루돌프와 많이있어,20162727,48591
12330,20179278,뷰티풀 레이디스,20155805,21189
12490,10081482,위스키 탱고 폭스트롯,20168747,0
12433,10016529,잭 리처: 네버 고 백,20166363,7862
12353,20270129,딜쿠샤,20140256,0
12341,10040160,루돌프와 많이있어,20162727,34434
12386,20256430,형,20154661,0
12401,10063616,스퀴즈,20162829,0
12506,20271649,우리 손자 베스트,20163011,0
12372,20266150,연애담,20159286,0
12461,20262069,휴가,20167102,0
12487,20191047,딜쿠샤,20140256,0
12404,20251149,스퀴즈,20162829,0
12442,20115762,돈 크라이 마미,20124348,4468
12451,10040160,루돌프와 많이있어,20162727,34434
12311,20179435,내가 고백을 하면,20120107,0
12521,20179059,남영동1985,20127546,0
12395,20266111,워킹 스트리트,20162546,0
12339,20125887,루돌프와 많이있어,20162727,360494
12315,10043765,내가 고백을 하면,20120107,400
12477,10006267,백야,20126001,16301
12305,10054226,터치,20125446,3720
12348,10090473,루돌프와 많이있어,20162727,142
12418,10072399,순종,20161603,41452
