,code,filmo,movie_code,average_audience
11775,10088799,위자: 저주의 시작,20161843,309181
11834,10073160,닥터 스트레인지,20163181,862469
11904,10004823,두 번째 스물,20155301,445979
11833,10025047,닥터 스트레인지,20163181,113010
11750,20179614,부귀영화,20125289,0
11853,10003606,걷기왕,20151022,0
11759,10067536,아르고,20129790,185186
11788,10057136,라우더 댄 밤즈,20161502,25582
11890,20154081,춘몽,20162541,0
11903,20261237,혼숨,20150564,0
11780,20126651,인페르노,20156007,259850
11772,10036317,미스터 캣,20169986,0
11963,10063284,카페 소사이어티,20168401,972405
11923,10042144,아프리칸 닥터,20161805,23880
11769,10075496,미스터 캣,20169986,153323
11876,10006155,춘몽,20162541,37567
11920,10028517,가족시네마,20121421,958961
11871,10029163,춘몽,20162541,7760
11862,20252614,걷기왕,20151022,0
11883,20111035,춘몽,20162541,0
11929,10046287,미스 페레그린과 이상한 아이들의 집,20164501,215539
11878,20196142,춘몽,20162541,0
11906,20265229,두 번째 스물,20155301,0
11992,10001960,코드네임 : 콜드워,20160181,14094
11756,10054459,부귀영화,20125289,0
11955,10082575,브리짓 존스의 베이비,20168885,1219025
11987,10001960,코드네임 : 콜드워,20160181,14094
11976,20146816,메가 피라냐,20121616,0
11965,10039193,카페 소사이어티,20168401,553282
11927,10034095,미스 페레그린과 이상한 아이들의 집,20164501,711543
11909,20265434,두 번째 스물,20155301,0
11944,20267971,그물,20167867,0
11970,10018884,"불량소녀, 너를 응원해!",20169034,108495
11936,20115207,그물,20167867,0
11791,10008764,장난감이 살아있다,20166721,1295080
11950,10013651,맨 인 더 다크,20167481,305134
11924,20253049,아프리칸 닥터,20161805,0
11957,10032816,파괴자들,20120127,142101
11953,10019207,브리짓 존스의 베이비,20168885,417171
11928,10042104,미스 페레그린과 이상한 아이들의 집,20164501,151721
11939,20139391,그물,20167867,0
11911,10062134,가족시네마,20121421,624737
11940,20253941,그물,20167867,0
11958,10041659,파괴자들,20120127,1651859
11969,10040665,퍼스트 포지션,20120182,1323034
11959,10068438,파괴자들,20120127,153372
11947,10080641,메카닉: 리크루트,20167261,327320
11895,10057136,다가오는 것들,20163314,24067
11935,10004973,그물,20167867,16665
11912,10005839,가족시네마,20121421,1464911
11905,10057882,두 번째 스물,20155301,209854
11964,10077997,카페 소사이어티,20168401,602687
11943,10004794,그물,20167867,0
11961,10030723,파괴자들,20120127,139062
11917,10060279,가족시네마,20121421,4747
11993,10046849,코드네임 : 콜드워,20160181,64722
11945,10063676,메카닉: 리크루트,20167261,561872
11973,10078985,"불량소녀, 너를 응원해!",20169034,0
11981,10014377,쿠보와 전설의 악기,20160781,444214
11974,10039774,"불량소녀, 너를 응원해!",20169034,130
11960,10036357,파괴자들,20120127,248753
11983,20113063,쿠보와 전설의 악기,20160781,657861
11937,20248548,그물,20167867,0
11966,10032816,카페 소사이어티,20168401,124314
11954,10076631,브리짓 존스의 베이비,20168885,529098
11916,10072210,가족시네마,20121421,3106
11861,20252055,걷기왕,20151022,0
11934,20162795,그물,20167867,118621
11896,10047867,다가오는 것들,20163314,18893
11941,20160668,그물,20167867,0
11977,20146817,메가 피라냐,20121616,0
11932,20173203,미스 페레그린과 이상한 아이들의 집,20164501,6301
11990,10082856,코드네임 : 콜드워,20160181,62384
11994,10069145,코드네임 : 콜드워,20160181,91609
11996,10047104,코드네임 : 콜드워,20160181,113960
11995,10082856,코드네임 : 콜드워,20160181,62384
11979,10015578,선생님의 일기,20160862,584
11991,10047104,코드네임 : 콜드워,20160181,113960
11982,20115379,쿠보와 전설의 악기,20160781,164378
12000,20113037,피터와 드래곤,20160143,1274806
11980,10035154,쿠보와 전설의 악기,20160781,529597
11998,20244432,피터와 드래곤,20160143,0
11978,20235206,자백,20163041,16999
11997,10031727,피터와 드래곤,20160143,1068351
11986,10032218,쿠보와 전설의 악기,20160781,0
11984,10067014,쿠보와 전설의 악기,20160781,22953
11930,10078815,미스 페레그린과 이상한 아이들의 집,20164501,0
11999,10052683,피터와 드래곤,20160143,1284
11952,10065865,맨 인 더 다크,20167481,33489
11985,10074787,쿠보와 전설의 악기,20160781,7171
11975,10083522,메가 피라냐,20121616,71
11988,10046849,코드네임 : 콜드워,20160181,64722
11989,10069145,코드네임 : 콜드워,20160181,91609
11948,10047042,메카닉: 리크루트,20167261,157464
11956,10079954,파괴자들,20120127,654733
11926,10048502,미스 페레그린과 이상한 아이들의 집,20164501,385813
11971,10057930,"불량소녀, 너를 응원해!",20169034,1464
12049,10079272,귀담백경,20160097,179
12003,10056356,피터와 드래곤,20160143,0
12019,20243930,할머니의 먼 집,20158359,0
12037,20258950,아수라,20153443,0
12022,20263462,할머니의 먼 집,20158359,0
12020,20221427,할머니의 먼 집,20158359,0
12002,10076981,피터와 드래곤,20160143,0
12027,10061699,아수라,20153443,3026552
12024,10090290,아수라,20153443,3287453
12159,10020239,무한대를 본 남자,20161165,196692
12171,10055362,가족시네마,20121421,1199
12112,10057329,스플릿,20163521,986188
12254,20231526,가려진 시간,20154905,0
12202,10028886,내가 살인범이다,20124075,0
12016,10050689,아이 엠 어 히어로,20169122,7717
12029,20163848,아수라,20153443,9439
