,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
46,인 더 하우스,프랑스,찬란,6085380,45440,15세이상관람가,스릴러|드라마,2013-07-04,25,767,2013-07-11,7370
47,치어리더 캠프,미국,(주)스넵쏘울,0,0,청소년관람불가,코미디,2013-07-04,1,80,2013-07-11,850
48,쿵후팬더: 영웅의 탄생,중국,(주)미디어데이,290568,946744,전체관람가,애니메이션,2013-07-04,90,923,2013-07-11,45788
49,타이치0 3D,홍콩,(주)영화사 빅,0,0,12세이상관람가|12세이상관람가,코미디|액션,2013-07-04,110,1325,2013-07-11,15981
50,팬텀: 라스트 커맨더,미국,브릿지웍스 엔터테인먼트(주),0,0,15세이상관람가,액션|스릴러,2013-07-04,42,283,2013-07-11,3609
51,48미터,한국,씨제이이앤엠(주),58329,337623,15세이상관람가,드라마,2013-07-04,34,549,2013-07-11,7175
53,경복,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),227043,293560,15세이상관람가,드라마,2013-07-11,1,35,2013-07-18,318
54,넥스트 투모로우,미국,(주)케이알씨지,662321,0,12세이상관람가,SF|액션,2013-07-11,3,180,2013-07-18,1020
56,명왕성,한국,(주)싸이더스,1384062,3619597,15세이상관람가,드라마|스릴러,2013-07-11,78,1107,2013-07-18,11887
57,사이드 이펙트,미국,롯데쇼핑㈜롯데엔터테인먼트,399667,1714300,청소년관람불가,스릴러|범죄|드라마,2013-07-11,165,4096,2013-07-18,36618
58,슈퍼피쉬 - 끝없는 여정,한국,(주)씨타마운틴픽쳐스|(주)팝엔터테인먼트,2113,356726,전체관람가|전체관람가,다큐멘터리,2013-07-11,12,477,2013-07-18,1815
59,슬립리스 나이트,프랑스,(주)소나무픽쳐스,302199,0,청소년관람불가,스릴러,2013-07-11,1,186,2013-07-18,1488
60,코리올라누스: 세기의 라이벌,영국,(주)팝파트너스,0,1473836,15세이상관람가,전쟁|드라마|스릴러,2013-07-11,3,319,2013-07-18,1944
61,콩가네,한국,프리비젼엔터테인먼트,0,1292872,청소년관람불가,가족|코미디,2013-07-11,3,154,2013-07-18,655
62,퍼시픽 림,미국,워너브러더스 코리아(주),0,1174124,12세이상관람가|12세이상관람가,액션|SF|어드벤처,2013-07-11,961,209975,2013-07-18,1760936
63,미스터 고,한국,(주)쇼박스,0,9736361,12세이상관람가|12세이상관람가,코미디|드라마,2013-07-17,840,94955,2013-07-24,880741
64,까밀 리와인드,프랑스,(주)엣나인필름,3727,26417,15세이상관람가,드라마,2013-07-18,23,1078,2013-07-25,9026
65,레드: 더 레전드,미국,롯데쇼핑㈜롯데엔터테인먼트,247,4073329,15세이상관람가,액션|코미디|범죄,2013-07-18,497,131462,2013-07-25,1520544
