,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
2028, 해피 해피 브레드,20126446,미시마 유키코,20128649,5021,일본,2012-06-28,2012-06-28,9,291,2012-07-11,6095
2020, 러버즈 고무옷의 그녀,20127491,와타나베 타카후미,20129649,0,일본,2012-06-28,2012-06-28,1,3,2012-07-11,0
1995, 아이 킬드 마이 마더,20149269,자비에 돌란,20115444,23965,캐나다,2015-01-15,2015-01-15,15,627,2015-01-28,4112
2041, 마피아,20156127,라이언 콤즈,20205346,0,미국,2015-01-29,2015-01-29,2,4,2015-02-11,16
2035, 블랙버드,20144927,지나 프린스-바이스우드,10069800,0,미국,2015-01-28,2015-01-28,131,2670,2015-02-10,13130
2018, 이엠쓰리,20155876,조크스 야네스,20205106,0,미국,2015-01-22,2015-01-22,1,1,2015-02-04,0
2040, 러브 모션,20156358,카마하라 세이진,20205326,0,일본,2015-01-29,2015-01-29,2,4,2015-02-11,0
2022, 레드나잇,20127632,줄리앙 카본|로랑 코티오드,10069560|10016117,0,홍콩,2012-06-28,2012-06-28,0,0,2012-07-11,0
2049, 정사: 위험한 성적 유희 무삭제판,20155582,이민환,20199129,352,한국,2015-01-29,2015-01-29,2,4,2015-02-11,0
2023, 빅뱅,20127631,토니 크란츠,10080200,0,미국,2012-06-28,2012-06-28,0,0,2012-07-11,0
2042, 비치하트애솔,20143753,이난,10054989,1327,한국,2015-01-29,2015-01-29,2,7,2015-02-11,156
2050, 참을 수 없는 사랑,20143862,메리 스튜어트 매스터슨,10025720,0,미국,2015-01-29,2015-01-29,5,157,2015-02-11,0
2046, 엔드 오브 디 어스,20145464,데렉 리|클리프 프라우즈,10010905|10001005,0,캐나다,2015-01-29,2015-01-29,29,353,2015-02-11,3047
2012, 베카스,20156035,카르잔 카데르,20204547,0,이라크,2015-01-22,2015-01-22,5,41,2015-02-04,0
2048, 임신하고 싶은 새댁의 음란한 정사,20156501,야마우치 다이스케,10046573,29,일본,2015-01-29,2015-01-29,1,60,2015-02-11,0
2033, 내 심장을 쏴라,20148553,문제용,10026804,559705,한국,2015-01-28,2015-01-28,430,60407,2015-02-10,382608
2032, 맥베스,20144021,에이드리언 노블,20205246,872,미국,2015-01-24,2015-01-24,2,105,2015-02-06,0
2053, 화끈한 써비스: 어느 잔인한 미용사의,20155923,남기웅,10007504,673,한국,2015-01-29,2015-01-29,5,45,2015-02-11,148
2025, 음란한 여간호사,20127566,코우야 타다시,20166403,52,일본,2012-06-28,2012-06-28,1,75,2012-07-11,0
2030, 마법의 섬,20124367,월리엄 크리스티,20166322,0,미국,2012-07-04,2012-06-28,0,0,2012-07-17,0
2026, 캐빈 인 더 우즈,20126566,드류 고다드,10013220,0,미국,2012-06-28,2012-06-28,267,23403,2012-07-11,223001
2084, 꿈보다 해몽,20141612,이광국,10054828,65681,한국,2015-02-12,2015-02-12,35,289,2015-02-25,3840
