,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
428, 어린 에츠코의 고민,20135966,조조 히데오,10066963,89,일본,2013-10-24,2013-10-24,1,10,2013-11-06,0
360, 러브씬,20130241,문인대|이정원|김두헌,20030289|10057304|10004016,1083814,한국,2013-10-03,2013-10-03,4,292,2013-10-16,0
308, 섀도우 헌터스: 뼈의 도시,20129588,해럴드 즈워트,10086779,146362,미국,2013-09-12,2013-09-12,352,34177,2013-09-25,527593
315, 퍼시 잭슨과 괴물의 바다,20137562,쏘어 프류덴탈,10040954,0,미국,2013-09-12,2013-09-12,380,12304,2013-09-25,475355
313, 카르고,20132681,이반 엔글러|랄프 에터,20178568|20178569,0,스위스,2013-09-12,2013-09-12,1,53,2013-09-25,0
304, 몬스터 대학교,20135001,댄 스캔론,20168024,0,미국,2013-09-12,2013-09-12,273,9957,2013-09-25,654597
363, 어떤 여인의 고백,20131862,아틱 라히미,10041820,0,프랑스,2013-10-03,2013-10-03,8,203,2013-10-16,1986
306, 부에노스 아이레스에서 사랑에 빠질 확률,20131281,구스타보 타레토,20177680,0,아르헨티나,2013-09-12,2013-09-12,10,247,2013-09-25,11984
305, 베이타운 디스코,20132624,배리 배틀스,20178520,0,미국,2013-09-12,2013-09-12,5,468,2013-09-25,0
343, 투 타이거,20132087,산드로 세카,20178208,0,이탈리아,2013-09-26,2013-09-26,1,510,2013-10-09,5460
8, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
314, 카르고,20132681,이반 엔글러|랄프 에터,20178568|20178569,0,스위스,2013-09-12,2013-09-12,1,53,2013-09-25,0
348, 이로도리 인생2막,20131086,미노리카와 오사무,20174840,6014,일본,2013-09-27,2013-09-27,1,624,2013-10-10,0
319, 아메리칸 배틀쉽,20132742,썬더 레빈,10035733,1,미국,2013-09-16,2013-09-16,2,520,2013-09-29,4882
394, 바캉스,20133569,박선욱,20110765,80,한국,2013-10-17,2013-10-17,21,1857,2013-10-30,0
326, 아브라함 링컨 VS 좀비 ,20132966,리차드 쉔크만,10020134,0,미국,2013-09-20,2013-09-20,1,680,2013-10-03,5510
327, 브랜디드,20130450,제이미 브랜드쇼|알렉산드르 듀러레인,10011420|20175940,0,미국,2013-09-25,2013-09-25,5,200,2013-10-08,0
322, 컨저링,20131381,제임스 완,10064265,1033287,미국,2013-09-17,2013-09-17,304,81130,2013-09-30,1611254
356, 정글번치 : 빙산으로의 귀환,20128079,다비드 알로|에릭 토스티,20175349|10048293,25158,프랑스,2013-10-02,2013-10-02,126,1493,2013-10-15,55992
451, 원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,20134374,손석|정치영,20111906|20111931,22079,한국,2013-10-31,2013-10-31,37,1172,2013-11-13,7746
13, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,0,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284
456, 플라이보이스,20135385,로코 데빌리어스,10017882,2500,미국,2013-11-02,2013-11-02,1,1,2013-11-15,0
320, 알렉산더 : 절대 영웅의 탄생,20132963,이고르 카리오노프,20178740,0,러시아,2013-09-17,2013-09-17,1,203,2013-09-30,0
373, 다크 스페이스,20134005,로저 크리스찬,10017777,48567,캐나다,2013-10-10,2013-10-10,5,318,2013-10-23,0
302, 낭만파 남편의 편지,20125228,최위안,10072560,4293,한국,2013-09-12,2013-09-12,6,114,2013-09-25,1038
16, 은실이,20112861,김선아|박세희,20113131|20114946,0,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
382," 혜원아, 사랑해",20113991,김기현,10003742,5586,한국,2012-03-29,2012-03-29,2,8,2012-04-11,0
311, 야쿠자 대 닌자,20132401,마이하라 켄조,20178580,0,일본,2013-09-12,2013-09-12,1,10,2013-09-25,0
336, 벌거숭이,20125247,박상훈,20069019,0,한국,2013-09-26,2013-09-26,5,11,2013-10-09,426
440, 녹색의자 2013 - 러브 컨셉츄얼리,20123386,박철수,10029409,41329,한국,2013-10-31,2013-10-31,4,59,2013-11-13,340
316, 2차 노출,20138948,리 위,10019341,1173,중국,2013-09-12,2013-09-12,1,1,2013-09-25,0
446, 브로큰 서클,20131461,펠릭스 반 그로에니겐,10083315,0,벨기에,2013-10-31,2013-10-31,6,75,2013-11-13,1761
333, 더 클로스,20133121,저스틴 프라이스,20172071,0,미국,2013-09-26,2013-09-26,1,100,2013-10-09,0
425, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
307, 불륜의 다이어리,20132761,핫토리 미츠노리,20126350,0,일본,2013-09-12,2013-09-12,1,10,2013-09-25,0
341, 차일디쉬 게임즈,20130981,안토니오 샤바리아스,10043890,0,스페인,2013-09-26,2013-09-26,1,195,2013-10-09,0
9, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,606131,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526
318, 꽃과 뱀의 정사,20132825,쿠니자와 미노루,20178640,44,일본,2013-09-16,2013-09-16,1,10,2013-09-29,0
10, 초한지 - 천하대전,20113883,이인항,10057088,173608,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447
393, 롤러코스터,20122785,하정우,10087253,955175,한국,2013-10-17,2013-10-17,354,27564,2013-10-30,268879
454, 풍운결,20134358,임초현,10058863,10216,홍콩,2013-10-31,2013-10-31,5,290,2013-11-13,1470
18, 태어나서 미안해,20112071,최영석,10072471,0,한국,2012-03-08,2012-03-08,1,6,2012-03-21,201
406, 테러라인,20133705,로버트 커비슨,20179301,0,미국,2013-10-17,2013-10-17,5,318,2013-10-30,1553
380, 전쟁 주식회사,20088391,조슈아 세프텔,10066333,0,미국,2012-03-29,2012-03-29,1,100,2012-04-11,0
324, 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,0,아르헨티나,2013-09-17,2013-09-17,133,2342,2013-09-30,41926
351, 댄서김의 은밀한 교수법,20133570,신혜성,20166836,64,한국,2013-10-02,2013-10-02,1,120,2013-10-15,1556
4, 송곳니,20113591,요르고스 란티모스,10065698,57721,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400
349, 리골레토,20135272,마이클 메이어,20179063,0,미국,2013-09-28,2013-09-28,2,61,2013-10-11,478
396, 백설공주: 또 다른 이야기,20133773,레이첼 골덴버그,10018353,1,미국,2013-10-17,2013-10-17,5,290,2013-10-30,5001
303, 늑대인간,20132962,후안 마르티네즈 모레노,10090527,3144,스페인,2013-09-12,2013-09-12,1,201,2013-09-25,0
432, 코알라,20125527,김주환,20112387,5091521,한국,2013-10-24,2013-10-24,59,247,2013-11-06,6039
417, 내 여친은 피규어,20130668,이시이 다카시,10056369,158,일본,2013-10-24,2013-10-24,1,130,2013-11-06,0
389, 네버다이 버터플라이,20138162,장현상,20172723,1159,한국,2013-10-17,2013-10-17,15,110,2013-10-30,1319
357, 프리즈너스,20130783,드니 빌뇌브,20113786,215483,미국,2013-10-02,2013-10-02,295,24147,2013-10-15,185547
413, 캡틴 필립스,20132821,폴 그린그래스,10083439,996303,미국,2013-10-23,2013-10-23,281,19778,2013-11-05,227226
347, 3096일,20131121,쉐리 호만,10037870,9898,독일,2013-09-26,2013-09-26,19,68,2013-10-09,0
420, 말하는 건축 시티:홀,20137584,정재은,10062188,37669,한국,2013-10-24,2013-10-24,29,226,2013-11-06,3695
439, 노라노,20130681,김성희,10004664,1140,한국,2013-10-31,2013-10-31,25,174,2013-11-13,2825
433, 톱스타,20120428,박중훈,10029293,0,한국,2013-10-24,2013-10-24,386,19375,2013-11-06,167758
453, 클립,20131141,마자 밀로스,20177340,0,세르비아,2013-10-31,2013-10-31,1,50,2013-11-13,0
377, 디어 한나,20113485,패디 콘시딘,10082446,0,영국,2012-03-29,2012-03-29,10,345,2012-04-11,6527
414, 공각기동대 어라이즈 보더 1: 고스트 페인,20132682,키세 카즈치카,20178570,616,일본,2013-10-24,2013-10-24,8,28,2013-11-06,457
330, 짓,20122466,한종훈,10087738,0,한국,2013-09-25,2013-09-25,148,2467,2013-10-08,23052
325, 러시안 소설,20127526,신연식,10040499,36766,한국,2013-09-19,2013-09-19,11,227,2013-10-02,3749
401, 비단꽃길,20124052,김정욱,20125808,486,한국,2013-10-17,2013-10-17,7,40,2013-10-30,629
424, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
436, 연애의 기술,20139402,이수성,10056145,3070,한국,2013-10-30,2013-10-30,57,966,2013-11-12,8725
371, 화이: 괴물을 삼킨 아이,20123383,장준환,10060507,73132,한국,2013-10-09,2013-10-09,734,360280,2013-10-22,2012934
448, 사대명포,20133771,진가상|진소진,10070381|20169733,64990,중국,2013-10-31,2013-10-31,5,320,2013-11-13,4500
310, 슈퍼배드 2,20122089,크리스 리노드|피에르 꼬팽,20112359|20100020,2327806,미국,2013-09-12,2013-09-12,303,6262,2013-09-25,727178
392, 러브레이스,20058701,롭 엡스타인|제프리 프리드먼,10018207|10064874,0,미국,2013-10-17,2013-10-17,148,2134,2013-10-30,18703
342, 체온 ? 그녀의 온도,20132794,타카오미 오가타,20178608,800,일본,2013-09-26,2013-09-26,5,371,2013-10-09,1591
365, 히어로,20136059,김봉한|임경택,10004369|10058467,383336,한국,2013-10-08,2013-10-08,38,428,2013-10-21,22692
374, 교수와 여제자2,20125127,장 클로드 브리소,10059888,1566,프랑스,2012-03-28,2012-03-28,1,9,2012-04-10,0
337, 스트레인저 인사이드,20132881,아담 네우츠키-불프,20178960,0,덴마크,2013-09-26,2013-09-26,5,380,2013-10-09,1521
435, 노브레싱,20138223,조용선,20134129,4989,한국,2013-10-30,2013-10-30,572,44704,2013-11-12,425175
359, 하리수의 도색,20132741,양범,10046916,54220,홍콩,2013-10-02,2013-10-02,5,830,2013-10-15,5674
355, 정글번치 : 빙산으로의 귀환,20128079,다비드 알로|에릭 토스티,20175349|10048293,25158,프랑스,2013-10-02,2013-10-02,126,1493,2013-10-15,55992
309, 슈퍼배드 2,20122089,크리스 리노드|피에르 꼬팽,20112359|20100020,2327806,미국,2013-09-12,2013-09-12,303,6262,2013-09-25,727178
340, 인터섹션,20131122,데이빗 마코니,20115388,630,프랑스,2013-09-26,2013-09-26,4,30,2013-10-09,0
408, 파라다이스 러브,20123629,울리히 세이들,10052333,0,독일,2013-10-17,2013-10-17,4,74,2013-10-30,1495
301, 관상,20126091,한재림,10087712,2692591,한국,2013-09-11,2013-09-11,927,373552,2013-09-24,7165827
15, 은실이,20112861,김선아|박세희,20113131|20114946,0,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
372, 그놈은 벨을 두 번 울린다,20133821,타무라 타카유키,10079165,2,일본,2013-10-10,2013-10-10,1,10,2013-10-23,0
317, 스트릿 오브 블러드,20132921,찰스 윙클러,10071292,0,미국,2013-09-13,2013-09-13,2,252,2013-09-26,0
442, 도쿄 미녀 삼총사,20132582,이시이 요시카즈,10075363,0,일본,2013-10-31,2013-10-31,1,10,2013-11-13,0
2, 덴 쉬 파운드 미,20078827,헬렌 헌트,10088926,15190,미국,2012-01-05,2012-01-05,1,7,2012-01-18,0
350, 깡철이,20123381,안권태,10042824,2405731,한국,2013-10-02,2013-10-02,700,134531,2013-10-15,1155438
388, 그래비티,20139221,알폰소 쿠아론,10045281,548488,미국,2013-10-17,2013-10-17,605,110996,2013-10-30,1924914
412, 레퀴엠,20133770,다니엘 바렌보임,20121287,1022,독일,2013-10-19,2013-10-19,6,45,2013-11-01,0
400, 뷰티풀 라이즈,20130061,피에르 살바도리,10085457,129645,프랑스,2013-10-17,2013-10-17,12,106,2013-10-30,879
20, 서약,20124874,마이클 수치,10023193,0,미국,2012-03-14,2012-03-14,284,37219,2012-03-27,232646
6, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
312, 우리 선희,20137041,홍상수,10089497,68027,한국,2013-09-12,2013-09-12,38,2129,2013-09-25,43641
353, 소원,20134582,이준익,10057485,0,한국,2013-10-02,2013-10-02,609,91705,2013-10-15,1846077
447, 사대명포,20133771,진가상|진소진,10070381|20169733,64990,중국,2013-10-31,2013-10-31,5,320,2013-11-13,4500
361, 러브씬,20130241,문인대|이정원|김두헌,20030289|10057304|10004016,1083814,한국,2013-10-03,2013-10-03,4,292,2013-10-16,0
395, 밤의 여왕,20123384,김제영,10005652,0,한국,2013-10-17,2013-10-17,312,28595,2013-10-30,251949
354, 적인걸2 : 신도해왕의 비밀,20132262,서극,10035347,100032,중국,2013-10-02,2013-10-02,169,5539,2013-10-15,45444
369, 쇼를 사랑한 남자,20132481,스티븐 소더버그,10039429,258824,미국,2013-10-09,2013-10-09,11,719,2013-10-22,9647
379, 시체가 돌아왔다,20124051,우선호,10052136,0,한국,2012-03-29,2012-03-29,402,47998,2012-04-11,803974
364, 소원택시,20133661,박창진,20179021,45638,한국,2013-10-04,2013-10-04,1,60,2013-10-17,283
397, 버터 러버,20134143,짐 필드 스미스,20167544,0,미국,2013-10-17,2013-10-17,5,471,2013-10-30,4465
376, 데드 앤 곤,20125366,요시 새슨,20127581,0,미국,2012-03-29,2012-03-29,0,0,2012-04-11,0
438, 토르: 다크 월드,20138355,앨런 테일러,10044279,3240370,미국,2013-10-30,2013-10-30,612,114775,2013-11-12,2155061
427, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
192, 포르노그래픽 러브,20131361,일리안 드제벨레코프,20177822,0,불가리아,2013-08-09,2013-08-09,1,196,2013-08-22,0
443, 두더지,20113722,소노 시온,10036571,972,일본,2013-10-31,2013-10-31,3,17,2013-11-13,692
391, 러브레이스,20058701,롭 엡스타인|제프리 프리드먼,10018207|10064874,0,미국,2013-10-17,2013-10-17,148,2134,2013-10-30,18703
339, 애프터 루시아,20131691,미셸 프랑코,20178023,6067,멕시코,2013-09-26,2013-09-26,7,91,2013-10-09,1798
332, 가투의 연날리기,20135584,라잔 코사,20168800,0,인도,2013-09-26,2013-09-26,2,6,2013-10-09,245
407, 토마스와 친구들: 블루마운틴 미스터리,20133159,그렉 티어넌,20112883,17515,영국,2013-10-17,2013-10-17,30,294,2013-10-30,9223
445, 벨벳키스-함정에 빠진 소악마,20134207,히로타 미키오,10090995,55,일본,2013-10-31,2013-10-31,1,10,2013-11-13,0
352, 로덴시아: 마법왕국의 전설,20132261,데이비드 비스바노,20178360,0,페루,2013-10-02,2013-10-02,125,2707,2013-10-15,88636
41, 토토의 움직이는 숲,20126253,에스벤 토프트 야콥슨,20174581,37582,덴마크,2013-06-20,2013-06-20,99,1268,2013-07-03,61914
426, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
5, 원더풀 라디오,20113671,권칠인,10002537,610392,한국,2012-01-05,2012-01-05,421,60371,2012-01-18,882472
383, 지크프리트,20124362,로베르트 르빠쥬,20166320,0,미국,2012-04-04,2012-03-29,0,0,2012-04-17,4
452, 저속희극,20121079,팡호청,10082435,1254,홍콩,2013-10-31,2013-10-31,3,359,2013-11-13,5105
344, 허니,20132743,세미 카플라노글루,10036086,0,터키,2013-09-26,2013-09-26,2,35,2013-10-09,713
405, 킥 애스 2 : 겁없는 녀석들,20137722,제프 와드로,10064682,122410,미국,2013-10-17,2013-10-17,142,1970,2013-10-30,0
40, 죽음의 게임: 네이키드 워리어,20139741,에이케이쥐,20175046,0,일본,2013-06-20,2013-06-20,1,50,2013-07-03,0
346, 히든 카드,20131630,브래드 퍼맨,10032080,167673,미국,2013-09-26,2013-09-26,350,23283,2013-10-09,151468
321, 야쿠자 대 닌자 2,20132584,마이하라 켄조,20178580,10,일본,2013-09-17,2013-09-17,1,10,2013-09-30,0
455, 화이트 고릴라,20134144,안드레스 G. 슈에,20175101,0,스페인,2013-10-31,2013-10-31,75,672,2013-11-13,54411
404, 잠자는 숲속의 미녀 ,20131041,마리우스 프티파,20181820,0,영국,2013-10-17,2013-10-17,2,38,2013-10-30,177
410, 행방불명,20132623,카와노 코지,10073897,1,일본,2013-10-17,2013-10-17,1,10,2013-10-30,0
366, 히어로,20136059,김봉한|임경택,10004369|10058467,383336,한국,2013-10-08,2013-10-08,38,428,2013-10-21,22692
378, 세이지: 육지의 물고기,20125148,이세야 유스케,10056081,0,일본,2012-03-29,2012-03-29,0,0,2012-04-11,450
11, 밍크코트,20112781,신아가|이상철,10040487|10055906,264889,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872
154, 중화 명탐정,20131002,나지량,10007079,101139,중국,2013-07-26,2013-07-26,4,422,2013-08-08,0
92, 브레이크 블레이드4: 세기의 전쟁,20130392,하바라 노부유시,10086861,142,일본,2013-07-11,2013-07-11,1,5,2013-07-24,0
45, 극장판 헌터X헌터 : 팬텀루즈,20139262,사토 유조,20174462,0,일본,2013-06-27,2013-06-27,42,369,2013-07-10,2988
94, 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,0,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118
386, 황금을 안고 튀어라,20132902,이즈츠 카즈유키,10057531,7975,일본,2013-10-10,2013-10-10,5,250,2013-10-23,1866
109, 까밀 리와인드,20134068,노에미 르보브스키,10008136,0,프랑스,2013-07-18,2013-07-18,23,1078,2013-07-31,13882
193," 가자, 장미여관으로",20130662,신정균,10040579,1372,한국,2013-08-14,2013-08-14,2,180,2013-08-27,8157
19, 화차,20124050,변영주,10031365,54291,한국,2012-03-08,2012-03-08,456,74855,2012-03-21,1761276
33, 아웃포스트 : 블랙선,20139243,스티브 바커,20169667,0,영국,2013-06-20,2013-06-20,1,196,2013-07-03,0
91, 바디 앤 안티바디,20130170,케리 더글라스 다이,20175843,0,미국,2013-07-11,2013-07-11,1,181,2013-07-24,0
133, 저스티스,20124932,로저 도널드슨,10017708,200004,미국,2012-03-15,2012-03-15,138,4592,2012-03-28,44128
103, 뜨거운 욕망,20130601,베르나드 진진,20176460,0,프랑스,2013-07-12,2013-07-12,1,255,2013-07-25,0
37, 유니버셜 솔저4: 클론의 반란,20139181,존 하이암스,10068563,1628,미국,2013-06-20,2013-06-20,1,14,2013-07-03,1252
362, 러브씬,20130241,문인대|이정원|김두헌,20030289|10057304|10004016,1083814,한국,2013-10-03,2013-10-03,4,292,2013-10-16,0
368, 비히클 19,20131821,무쿤다 마이클 드윌,20178084,10,미국,2013-10-09,2013-10-09,10,108,2013-10-22,4437
398, 벤다 빌릴리,20133413,리노드 바렛|플로렝 드 라 툴라예,20178900|20178901,0,프랑스,2013-10-17,2013-10-17,2,34,2013-10-30,899
399, 벤다 빌릴리,20133413,리노드 바렛|플로렝 드 라 툴라예,20178900|20178901,0,프랑스,2013-10-17,2013-10-17,2,34,2013-10-30,899
17, 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,1736325,미국,2012-03-08,2012-03-08,462,41747,2012-03-21,717951
416, 까미유 끌로델,20133141,부르노 뒤몽,20178823,0,프랑스,2013-10-24,2013-10-24,5,105,2013-11-06,1661
47, 라스트 엑소시즘: 잠들지 않는 영혼,20139222,에드 게스-도넬리,20175360,0,미국,2013-06-27,2013-06-27,87,1124,2013-07-10,9372
29, 백 투 가야,20048982,레나르드 프리츠 크라빙켈|호거 태프,20174180|10089026,121663,독일,2013-06-20,2013-06-20,0,0,2013-07-03,0
32, 세상은 가끔 아름답다,20139581,미노리카와 오사무,20174840,7294,일본,2013-06-20,2013-06-20,0,0,2013-07-03,34
431, 카이츠,20135544,아누락 바수,20168780,0,인도,2013-10-24,2013-10-24,5,395,2013-11-06,0
3, 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,18179,스웨덴,2012-01-05,2012-01-05,6,107,2012-01-18,1554
335, 모테키: 모태솔로 탈출기,20131861,오오네 히토시,20171960,3653,일본,2013-09-26,2013-09-26,6,340,2013-10-09,954
421, 미스터 노바디,20088397,자코 반 도마엘,10059349,73230,캐나다,2013-10-24,2013-10-24,22,518,2013-11-06,10297
26, 무민가족의 한여름 대소동,20139490,마리아 린드버그,20174740,0,핀란드,2013-06-20,2013-06-20,5,500,2013-07-03,0
177, 나에게서 온 편지,20139825,카린느 타르디유,10073655,0,프랑스,2013-08-08,2013-08-08,17,411,2013-08-21,7330
117, 체인드,20138185,제니퍼 챔버스 린치,10062712,24261,미국,2013-07-18,2013-07-18,2,180,2013-07-31,2210
411, 화이트 타이거: 최강전차군단,20134162,카렌 샤크나자로브,10073348,0,러시아,2013-10-17,2013-10-17,5,677,2013-10-30,5058
345, 호비와 후후의 대모험: 무지개꽃을 구하라,20132381,히라바야시 이사무,20178567,12208,일본,2013-09-26,2013-09-26,36,643,2013-10-09,13752
434, 한나를 위한 소나타,20132903,마르쿠스 로젠뮐러,20178702,0,독일,2013-10-24,2013-10-24,2,8,2013-11-06,415
329, 블루 재스민,20131541,우디 앨런,10052035,81090,미국,2013-09-25,2013-09-25,204,8659,2013-10-08,97320
331, 퍼펙트,20131241,닐스 아르덴 오플레브,20125859,3033,미국,2013-09-25,2013-09-25,115,2775,2013-10-08,17780
403, 사랑에 빠진 것처럼,20138604,압바스 키아로스타미,10045373,18774,프랑스,2013-10-17,2013-10-17,16,222,2013-10-30,2511
444, 맛있는 사랑공식-섹스,20134705,이세일,10056085,162,한국,2013-10-31,2013-10-31,5,290,2013-11-13,0
450, 원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,20134374,손석|정치영,20111906|20111931,22079,한국,2013-10-31,2013-10-31,37,1172,2013-11-13,7746
30, 버니,20138582,리차드 링클레이터,10020023,115978,미국,2013-06-20,2013-06-20,28,340,2013-07-03,7175
167, 플레이스 비욘드 더 파인즈,20130421,데릭 시엔프랜스,20128509,48885,미국,2013-08-01,2013-08-01,30,756,2013-08-14,16035
14, 스탠리의 도시락 ,20124726,아몰 굽트,20127325,23406,인도,2012-03-08,2012-03-08,125,1601,2012-03-21,42943
375, 그녀가 떠날 때,20124947,페오 알라다그,20127330,0,독일,2012-03-29,2012-03-29,12,300,2012-04-11,4967
7, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
418, 내부고발자,20134703,라리사 콘드랙키,20180806,0,미국,2013-10-24,2013-10-24,5,562,2013-11-06,5108
12, 밍크코트,20112781,신아가|이상철,10040487|10055906,264889,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872
387, 온천장의 은밀한 정사,20133189,아이조메 쿄코,20126361,10,일본,2013-10-16,2013-10-16,1,10,2013-10-29,0
34, 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,11575,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873
21, 가비,20111774,장윤현,10060414,1885540,한국,2012-03-15,2012-03-15,315,23878,2012-03-28,266138
338, 아유레디?,20138482,허원,10088237,275575,한국,2013-09-26,2013-09-26,19,288,2013-10-09,8201
449, 수호지-불사영웅 석수,20134704,류신의,20167522,647,중국,2013-10-31,2013-10-31,5,320,2013-11-13,4470
323, 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,0,아르헨티나,2013-09-17,2013-09-17,133,2342,2013-09-30,41926
59, 화이트 하우스 다운,20137815,롤랜드 에머리히,10018115,1343434,미국,2013-06-27,2013-06-27,457,60803,2013-07-10,562860
54, 엽문4: 종극일전,20139863,구예도,20072820,8059,홍콩,2013-06-27,2013-06-27,5,350,2013-07-10,2888
93, 사이드 이펙트,20139723,스티븐 소더버그,10039429,257342,미국,2013-07-11,2013-07-11,165,4096,2013-07-24,37089
170, 아이다,20135270,소냐 프리셀,20174000,0,미국,2013-08-03,2013-08-03,2,83,2013-08-16,715
188, 죽지않아,20127587,황철민,10090354,552,한국,2013-08-08,2013-08-08,9,150,2013-08-21,1146
370, 에코 플래닛 3D : 지구 구출 특급 대작전,20132601,콤핀 켐군니르드,20115754,221,태국,2013-10-09,2013-10-09,182,12785,2013-10-22,32869
50, 빈센트,20138608,랄프 후에트너,10014388,0,독일,2013-06-27,2013-06-27,6,319,2013-07-10,3611
144, 링,20129099,이진혁,20121463,0,한국,2013-07-25,2013-07-25,19,111,2013-08-07,1537
48, 맛있는 섹스 - 인연,20139922,이세일,10056085,464,한국,2013-06-27,2013-06-27,1,5,2013-07-10,0
23, 야색야동,20125336,이세일,10056085,466,한국,2012-03-15,2012-03-15,1,5,2012-03-28,0
381, 타이탄의 분노,20124717,조나단 리브스만,10065332,453895,미국,2012-03-29,2012-03-29,505,71799,2012-04-11,873647
98, 알바생과의 불륜,20139384,이마오카 신지,10055307,33,일본,2013-07-11,2013-07-11,1,10,2013-07-24,0
328, 브랜디드,20130450,제이미 브랜드쇼|알렉산드르 듀러레인,10011420|20175940,0,미국,2013-09-25,2013-09-25,5,200,2013-10-08,0
390, 당신에게도 사랑이 다시 찾아올까요?,20132167,가브리엘 무치노,10000103,153807,미국,2013-10-17,2013-10-17,98,1673,2013-10-30,0
423, 사육-내안에 가둔 그녀,20134359,이세일,10056085,441,한국,2013-10-24,2013-10-24,5,120,2013-11-06,0
27, 밀프,20139843,스콧 휠러,20175362,1332,미국,2013-06-20,2013-06-20,0,0,2013-07-03,708
409, 페이머스 파이브 : 키린섬의 비밀,20132382,마이크 마주크,20178560,4682,독일,2013-10-17,2013-10-17,30,1135,2013-10-30,0
22, 마이 백 페이지,20113483,야마시타 노부히로,10046558,6504,일본,2012-03-15,2012-03-15,7,124,2012-03-28,2049
367, 러시 : 더 라이벌,20132120,론 하워드,10018065,507425,미국,2013-10-09,2013-10-09,252,19252,2013-10-22,121890
49, 빅 웨딩,20138884,저스틴 잭햄,10061164,0,미국,2013-06-27,2013-06-27,149,5044,2013-07-10,33474
62, 가면무도회,20135269,데이비드 알덴,20175820,0,미국,2013-06-29,2013-06-29,2,67,2013-07-12,400
165, 이고르와 학의 여행,20130801,예프게니 루만,20176600,0,이스라엘,2013-08-01,2013-08-01,2,72,2013-08-14,1036
69, 맥베드,20139942,제프리 라이트,10064775,25310,호주,2013-07-04,2013-07-04,1,80,2013-07-17,0
55, 카르페디엠,20134485,레이노앗 오얼레만스,20167420,0,네덜란드,2013-06-27,2013-06-27,1,100,2013-07-10,830
35, 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,11575,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873
31, 부기우기: 상위 1%의 섹스,20098216,던컨 워드,10010661,0,영국,2013-06-20,2013-06-20,1,100,2013-07-03,1514
160, 능욕 온천장의 오후,20131162,쿠보데라 카즈토,20120521,4,일본,2013-08-01,2013-08-01,1,10,2013-08-14,0
180, 미드나잇 선,20130521,스콧 레베레히트,20176000,0,미국,2013-08-08,2013-08-08,3,86,2013-08-21,0
182, 비엔나전투 1683,20131301,렌조 마르티넬리,20120803,10,이탈리아,2013-08-08,2013-08-08,3,371,2013-08-21,0
150, 터보,20137549,데이빗 소렌,20171784,0,미국,2013-07-25,2013-07-25,456,63108,2013-08-07,1527015
114, 브로큰,20122230,루퍼스 노리스,20168766,0,영국,2013-07-18,2013-07-18,16,312,2013-07-31,2647
