movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day15_date,day15_audience
 다크아워,20113652,크리스 고락,10077008,미국,2012-01-05,2012-01-05,305,22325,2012-01-18,162604
 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,스웨덴,2012-01-05,2012-01-05,6,107,2012-01-18,1554
 송곳니,20113591,요르고스 란티모스,10065698,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400
 원더풀 라디오,20113671,권칠인,10002537,한국,2012-01-05,2012-01-05,421,60371,2012-01-18,882472
 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526
 초한지 - 천하대전,20113883,이인항,10057088,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447
 밍크코트,20112781,신아가|이상철,10040487|10055906,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872
 세 번째 사랑,20113491,리처드 J. 루이스,20125878,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284
 스탠리의 도시락 ,20124726,아몰 굽트,20127325,인도,2012-03-08,2012-03-08,125,1601,2012-03-21,42943
 은실이,20112861,김선아|박세희,20113131|20114946,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,미국,2012-03-08,2012-03-08,462,41747,2012-03-21,717951
 태어나서 미안해,20112071,최영석,10072471,한국,2012-03-08,2012-03-08,1,6,2012-03-21,201
 화차,20124050,변영주,10031365,한국,2012-03-08,2012-03-08,456,74855,2012-03-21,1761276
 서약,20124874,마이클 수치,10023193,미국,2012-03-14,2012-03-14,284,37219,2012-03-27,232646
 가비,20111774,장윤현,10060414,한국,2012-03-15,2012-03-15,315,23878,2012-03-28,266138
 마이 백 페이지,20113483,야마시타 노부히로,10046558,일본,2012-03-15,2012-03-15,7,124,2012-03-28,2049
 밀프,20139843,스콧 휠러,20175362,미국,2013-06-20,2013-06-20,0,0,2013-07-03,708
 버니,20138582,리차드 링클레이터,10020023,미국,2013-06-20,2013-06-20,28,340,2013-07-03,7175
 부기우기: 상위 1%의 섹스,20098216,던컨 워드,10010661,영국,2013-06-20,2013-06-20,1,100,2013-07-03,1514
 세상은 가끔 아름답다,20139581,미노리카와 오사무,20174840,일본,2013-06-20,2013-06-20,0,0,2013-07-03,34
 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873
 월드 워 Z,20122122,마크 포스터,10024440,미국,2013-06-20,2013-06-20,802,239692,2013-07-03,3553992
 유니버셜 솔저4: 클론의 반란,20139181,존 하이암스,10068563,미국,2013-06-20,2013-06-20,1,14,2013-07-03,1252
 이별계약,20137081,오기환,10050086,한국,2013-06-20,2013-06-20,60,1705,2013-07-03,16278
 토토의 움직이는 숲,20126253,에스벤 토프트 야콥슨,20174581,덴마크,2013-06-20,2013-06-20,99,1268,2013-07-03,61914
 파라다이스 키스,20138861,신조 타케히코,20112339,일본,2013-06-20,2013-06-20,5,339,2013-07-03,1572
 퓨어,20139264,리사 랑세트,20174580,스웨덴,2013-06-20,2013-06-20,1,68,2013-07-03,1054
 홀리,20124043,박병환,20125796,한국,2013-06-20,2013-06-20,7,132,2013-07-03,608
 극장판 헌터X헌터 : 팬텀루즈,20139262,사토 유조,20174462,일본,2013-06-27,2013-06-27,42,369,2013-07-10,2988
 더 웹툰: 예고살인,20129114,김용균,10005097,한국,2013-06-27,2013-06-27,541,80164,2013-07-10,965352
 라스트 엑소시즘: 잠들지 않는 영혼,20139222,에드 게스-도넬리,20175360,미국,2013-06-27,2013-06-27,87,1124,2013-07-10,9372
 빅 웨딩,20138884,저스틴 잭햄,10061164,미국,2013-06-27,2013-06-27,149,5044,2013-07-10,33474
 빈센트,20138608,랄프 후에트너,10014388,독일,2013-06-27,2013-06-27,6,319,2013-07-10,3611
 셀러브리티 섹스테이프,20139921,스콧 휠러,20175362,미국,2013-06-27,2013-06-27,2,90,2013-07-10,1264
 엽문4: 종극일전,20139863,구예도,20072820,홍콩,2013-06-27,2013-06-27,5,350,2013-07-10,2888
 카르페디엠,20134485,레이노앗 오얼레만스,20167420,네덜란드,2013-06-27,2013-06-27,1,100,2013-07-10,830
 코스모폴리스,20138882,데이빗 크로넨버그,10012121,캐나다,2013-06-27,2013-06-27,23,789,2013-07-10,11213
 화이트 하우스 다운,20137815,롤랜드 에머리히,10018115,미국,2013-06-27,2013-06-27,457,60803,2013-07-10,562860
" 힘내세요, 병헌씨",20122123,이병헌,20125862,한국,2013-06-27,2013-06-27,16,175,2013-07-10,2706
 가면무도회,20135269,데이비드 알덴,20175820,미국,2013-06-29,2013-06-29,2,67,2013-07-12,400
 감시자들,20122783,조의석|김병서,10066810|10004276,한국,2013-07-03,2013-07-03,731,210052,2013-07-16,3785950
 론 레인저,20136862,고어 버빈스키,10001678,미국,2013-07-04,2013-07-04,392,42702,2013-07-17,385673
 매니악 : 슬픈 살인의 기록,20137964,프랭크 칼폰,10084753,미국,2013-07-04,2013-07-04,32,255,2013-07-17,2780
 모니카와의 여름 ,20134481,잉마르 베리만,10059012,스웨덴,2013-07-04,2013-07-04,1,22,2013-07-17,358
 빅 픽처,20134044,에릭 라티고,10048062,프랑스,2013-07-04,2013-07-04,19,758,2013-07-17,13295
 인 더 하우스,20139121,프랑소와 오종,10084405,프랑스,2013-07-04,2013-07-04,25,767,2013-07-17,11726
 쿵후팬더: 영웅의 탄생,20139263,레오 로,20174720,중국,2013-07-04,2013-07-04,90,923,2013-07-17,72899
 타이치0 3D,20139081,풍덕륜,10084148,홍콩,2013-07-04,2013-07-04,110,1325,2013-07-17,16285
 팬텀: 라스트 커맨더,20139403,토드 로빈슨,10080269,미국,2013-07-04,2013-07-04,42,283,2013-07-17,3777
 48미터,20120801,민백두,10027791,한국,2013-07-04,2013-07-04,34,549,2013-07-17,9968
 라 트라비아타,20139824,후고 데 아나,20175044,독일,2013-07-06,2013-07-06,1,105,2013-07-19,935
 넥스트 투모로우,20130389,트레비스 포트,20176120,미국,2013-07-11,2013-07-11,3,180,2013-07-24,1380
 마스터 ,20138982,폴 토마스 앤더슨,10083853,미국,2013-07-11,2013-07-11,36,1404,2013-07-24,22534
 명왕성,20120110,신수원,10040434,한국,2013-07-11,2013-07-11,78,1107,2013-07-24,15019
 사이드 이펙트,20139723,스티븐 소더버그,10039429,미국,2013-07-11,2013-07-11,165,4096,2013-07-24,37089
 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118
 코리올라누스: 세기의 라이벌,20139822,랄프 파인즈,10014377,영국,2013-07-11,2013-07-11,3,319,2013-07-24,2245
 콩가네,20124031,남기웅,10007504,한국,2013-07-11,2013-07-11,3,154,2013-07-24,712
 퍼시픽 림,20136961,길예르모 델 토로,10003461,미국,2013-07-11,2013-07-11,961,209975,2013-07-24,2308511
 미스터 고,20124082,김용화,10005151,한국,2013-07-17,2013-07-17,840,94955,2013-07-30,1232663
 까밀 리와인드,20134068,노에미 르보브스키,10008136,프랑스,2013-07-18,2013-07-18,23,1078,2013-07-31,13882
 레드: 더 레전드,20136962,딘 패리소트,10013627,미국,2013-07-18,2013-07-18,497,131462,2013-07-31,2511270
 브로큰,20122230,루퍼스 노리스,20168766,영국,2013-07-18,2013-07-18,16,312,2013-07-31,2647
 에어라인 플라이트,20130669,존 윌리스 3세,10068240,미국,2013-07-18,2013-07-18,2,180,2013-07-31,2240
 우리는 그곳에 있었다,20126673,박준기,20128869,한국,2013-07-18,2013-07-18,5,105,2013-07-31,1298
 체인드,20138185,제니퍼 챔버스 린치,10062712,미국,2013-07-18,2013-07-18,2,180,2013-07-31,2210
 테르마이 로마이,20139724,타케우치 히데키,20112234,일본,2013-07-18,2013-07-18,7,136,2013-07-31,2850
 토니 스토리: 깡통제국의 비밀,20139141,토마스 보덴스타인,20172322,독일,2013-07-18,2013-07-18,188,6502,2013-07-31,66439
 영춘권 무림 절대 고수,20130592,장동조,10060121,중국,2013-07-19,2013-07-19,5,527,2013-08-01,3595
 그랑블루 리마스터링 감독판,20130252,뤽 베송,10019011,프랑스,2013-07-25,2013-07-25,33,793,2013-08-07,12620
 극장판 도라에몽: 진구의 비밀도구 박물관,20139383,테라모토 유키요,10079674,일본,2013-07-25,2013-07-25,225,8445,2013-08-07,116768
 더 울버린,20137121,제임스 맨골드,10064101,미국,2013-07-25,2013-07-25,694,138359,2013-08-07,1048689
 저스티스,20124932,로저 도널드슨,10017708,미국,2012-03-15,2012-03-15,138,4592,2012-03-28,44128
 청춘그루브,20116038,변성현,10031356,한국,2012-03-15,2012-03-15,5,31,2012-03-28,857
 크로니클,20124666,조쉬 트랭크,20126769,미국,2012-03-15,2012-03-15,297,31489,2012-03-28,373875
 킬링 타임,20119516,박성수 ,20111994,한국,2012-03-15,2012-03-15,1,31,2012-03-28,155
 핑크,20112702,전수일,10061331,한국,2012-03-15,2012-03-15,11,60,2012-03-28,922
 홈 스위트 홈,20111957,문시현,20112401,한국,2012-03-15,2012-03-15,4,11,2012-03-28,282
 링,20129099,이진혁,20121463,한국,2013-07-25,2013-07-25,19,111,2013-08-07,1537
 마지막 4중주,20139826,야론 질버만,10046440,미국,2013-07-25,2013-07-25,29,1672,2013-08-07,36381
 스프링 브레이커스,20138955,하모니 코린,10086841,미국,2013-07-25,2013-07-25,1,49,2013-08-07,468
 콤플렉스,20139882,나카타 히데오,10007255,일본,2013-07-25,2013-07-25,3,92,2013-08-07,603
 터보,20137549,데이빗 소렌,20171784,미국,2013-07-25,2013-07-25,456,63108,2013-08-07,1527015
 페르소나,20136821,잉마르 베리만,10059012,스웨덴,2013-07-25,2013-07-25,1,69,2013-08-07,960
 더 테러 라이브,20136052,김병우,10004291,한국,2013-07-31,2013-07-31,674,215832,2013-08-13,4190053
 슈퍼히어로,20139821,에두와르도 슐츠,20169161,페루,2013-07-31,2013-07-31,60,1329,2013-08-13,11469
 스톨른,20130251,사이먼 웨스트,10034365,미국,2013-07-31,2013-07-31,13,664,2013-08-13,2440
 개구쟁이 스머프 2,20136761,라자 고스넬,10014146,미국,2013-08-01,2013-08-01,377,92058,2013-08-14,777190
 설국열차,20126674,봉준호,10031641,한국,2013-08-01,2013-08-01,936,601029,2013-08-14,7145121
 슈퍼스타,20130065,자비에 지아놀리,10059220,프랑스,2013-08-01,2013-08-01,3,16,2013-08-14,306
 이고르와 학의 여행,20130801,예프게니 루만,20176600,이스라엘,2013-08-01,2013-08-01,2,72,2013-08-14,1036
 컴플라이언스,20130702,크레이그 조벨,20176442,미국,2013-08-01,2013-08-01,6,56,2013-08-14,951
 플레이스 비욘드 더 파인즈,20130421,데릭 시엔프랜스,20128509,미국,2013-08-01,2013-08-01,30,756,2013-08-14,16035
 아이다,20135270,소냐 프리셀,20174000,미국,2013-08-03,2013-08-03,2,83,2013-08-16,715
 은밀하게 위대하게 (확장판),20131304,장철수,10060556,한국,2013-08-05,2013-08-05,1,166,2013-08-18,4462
 명탐정 코난 : 수평선상의 음모,20058720,야마모토 야스이치로,20115431,일본,2013-08-07,2013-08-07,282,20161,2013-08-20,370185
 에픽 : 숲속의 전설 ,20138202,크리스 웻지,10077179,미국,2013-08-07,2013-08-07,415,53747,2013-08-20,836742
 나에게서 온 편지,20139825,카린느 타르디유,10073655,프랑스,2013-08-08,2013-08-08,17,411,2013-08-21,7330
 러브 인 코리아,20119827,박제욱,20112331,한국,2013-08-08,2013-08-08,3,6,2013-08-21,190
 러블리 몰리,20131082,에두아르도 산체스,10047518,미국,2013-08-08,2013-08-08,5,610,2013-08-21,5262
 베이트,20130250,킴블 렌달,10078924,호주,2013-08-08,2013-08-08,54,1864,2013-08-21,15990
 죽지않아,20127587,황철민,10090354,한국,2013-08-08,2013-08-08,9,150,2013-08-21,1146
 페이퍼보이: 사형수의 편지,20120464,리 다니엘스,10019262,미국,2013-08-08,2013-08-08,11,319,2013-08-21,3033
 페인리스,20130443,후앙 카를로스 메디나,10090552,스페인,2013-08-08,2013-08-08,25,733,2013-08-21,7054
" 가자, 장미여관으로",20130662,신정균,10040579,한국,2013-08-14,2013-08-14,2,180,2013-08-27,8157
 감기,20124937,김성수,10004596,한국,2013-08-14,2013-08-14,671,304661,2013-08-27,2789195
 더 팩트,20131083,니콜라스 맥카시,20178062,미국,2013-08-14,2013-08-14,4,260,2013-08-27,4390
 세상의 끝까지 21일,20134061,로렌 스카파리아,10016199,미국,2013-08-14,2013-08-14,6,303,2013-08-27,14314
 숨바꼭질,20136049,허정,20169260,한국,2013-08-14,2013-08-14,623,293917,2013-08-27,4329186
 슈퍼윙스 3D,20130569,올가 로패토,20176142,러시아,2013-08-14,2013-08-14,128,4023,2013-08-27,42471
 언어의 정원,20139083,신카이 마코토,10040653,일본,2013-08-14,2013-08-14,54,3792,2013-08-27,42232
" 패션, 위험한 열정",20130541,브라이언 드 팔마,10031773,독일,2013-08-14,2013-08-14,18,377,2013-08-27,7847
 퍼시픽 모비딕,20131244,트레이 스톡스,20178022,미국,2013-08-14,2013-08-14,4,250,2013-08-27,5100
 허풍,20130243,공자관,10001904,한국,2013-08-14,2013-08-14,3,106,2013-08-27,551
 그리고 싶은 것,20122121,권효,20114981,한국,2013-08-15,2013-08-15,23,547,2013-08-28,3639
 렛 미 아웃,20125232,소재영|김창래,10036678|10005983,한국,2013-08-15,2013-08-15,10,135,2013-08-28,722
 월하의 침략자,20123624,마에다 켄지,10022524,일본,2013-08-15,2013-08-15,1,21,2013-08-28,78
 전쟁과 한 여자,20134063,이노우에 준이치,10055036,일본,2013-08-15,2013-08-15,2,70,2013-08-28,582
 가시꽃,20120104,이돈구,10055132,한국,2013-08-22,2013-08-22,10,103,2013-09-04,1429
 나우 유 씨 미 : 마술사기단,20138881,루이스 리테리어,10018639,미국,2013-08-22,2013-08-22,484,146606,2013-09-04,2313868
 드리프트,20130448,벤 노트|모건 오닐,10031100|20171580,호주,2013-08-22,2013-08-22,3,118,2013-09-04,1924
 라 당스,20130784,프레데릭 와이즈만,10085041,프랑스,2013-08-22,2013-08-22,5,250,2013-09-04,4382
 밀크 오브 소로우-슬픈 모유,20131721,클로디아 로사,20178046,스페인,2013-08-22,2013-08-22,1,45,2013-09-04,519
 방독피,20100793,김곡|김선,10003598|10004500,한국,2013-08-22,2013-08-22,1,4,2013-09-04,582
 브레이크 블레이드6: 결전의 시간,20131822,하바라 노부유시,10086861,일본,2013-08-22,2013-08-22,1,10,2013-09-04,90
 비바 프랑스,20131204,미카엘 윤,20172681,프랑스,2013-08-22,2013-08-22,6,578,2013-09-04,2045
 일대종사,20139072,왕가위,10051499,중국,2013-08-22,2013-08-22,190,8790,2013-09-04,85455
 장강7호 : 내친구 마법요정,20131582,원건도,10052438,홍콩,2013-08-22,2013-08-22,54,685,2013-09-04,5104
 투 마더스,20130821,앤 폰테인,10045760,프랑스,2013-08-22,2013-08-22,198,11201,2013-09-04,69723
 폭스파이어,20138481,로랑 캉테,10016116,프랑스,2013-08-22,2013-08-22,29,405,2013-09-04,7881
 R.I.P.D. : 알.아이.피.디.,20138421,로베르트 슈벤트케,10016782,미국,2013-08-22,2013-08-22,260,13515,2013-09-04,101136
 관음 - 욕망의 유희,20131823,이세일,10056085,한국,2013-08-29,2013-08-29,1,10,2013-09-11,200
 드래곤볼Z : 신들의 전쟁,20131681,호소다 마사히로,20178122,일본,2013-08-29,2013-08-29,209,4821,2013-09-11,44066
 가을 소나타,20070396,잉마르 베리만,10059012,스웨덴,2012-03-22,2012-03-22,1,44,2012-04-04,919
 건축학개론,20124074,이용주,10056822,한국,2012-03-22,2012-03-22,549,66580,2012-04-04,1811622
 달팽이의 별,20100752,이승준,10056267,한국,2012-03-22,2012-03-22,33,699,2012-04-04,10928
 밀레니엄 : 제2부 불을 가지고 노는 소녀,20124906,다니엘 알프레드슨,10009399,스웨덴,2012-03-22,2012-03-22,5,56,2012-04-04,1358
 스페이스 독,20124939,이나 예블라니코바|스비야토슬라브 우샤코프 ,10048638|20127323,러시아,2012-03-22,2012-03-22,56,232,2012-04-04,36207
 양자탄비 ,20124951,강문,10000589,중국,2012-03-22,2012-03-22,29,148,2012-04-04,1432
 언터처블: 1%의 우정,20124142,올리비에르 나카체|에릭 토레다노,20126649|20126650,프랑스,2012-03-22,2012-03-22,311,46216,2012-04-04,1046006
 콘트라밴드,20124873,발타자르 코루마쿠르,10029772,미국,2012-03-22,2012-03-22,173,6742,2012-04-04,52743
 해로 (偕老),20111074,최종태,10072725,한국,2012-03-22,2012-03-22,18,208,2012-04-04,3211
 삼총사2013,20132081,콜 S. 맥케이,10076547,미국,2013-08-29,2013-08-29,3,260,2013-09-11,5410
 시크릿,20132321,니콜라스 자렉키,10008712,미국,2013-08-29,2013-08-29,5,284,2013-09-11,1330
 아티스트 봉만대,20131206,봉만대,10031639,한국,2013-08-29,2013-08-29,131,1380,2013-09-11,13652
 엘리시움,20137811,닐 블롬캠프,10009038,미국,2013-08-29,2013-08-29,459,132038,2013-09-11,1193820
 우리들의 헤어진 여자친구,20131692,이광호,20178440,한국,2013-08-29,2013-08-29,4,141,2013-09-11,514
 일탈여행: 프라이빗 아일랜드,20131984,한상희,10087516,한국,2013-08-29,2013-08-29,23,694,2013-09-11,3460
 잡스,20139265,조슈아 마이클 스턴,10066325,미국,2013-08-29,2013-08-29,400,33062,2013-09-11,223391
 짚의 방패,20131202,미이케 다카시,10027427,일본,2013-08-29,2013-08-29,30,1186,2013-09-11,4545
 탱고 위드 미,20130705,프레더릭 폰테인,10084857,벨기에,2013-08-29,2013-08-29,7,145,2013-09-11,2116
 할매,20126528,김지곤,20128778,한국,2013-08-29,2013-08-29,1,5,2013-09-11,240
 할매-시멘트정원,20137561,김지곤,20128778,한국,2013-08-29,2013-08-29,1,5,2013-09-11,54
 2 데이즈 인 뉴욕,20130703,줄리 델피,10069302,프랑스,2013-08-29,2013-08-29,19,390,2013-09-11,4973
 개똥이,20120109,김병준,20167143,한국,2013-09-05,2013-09-05,6,29,2013-09-18,613
 괜찮아 3반,20131261,히로키 류이치,10090988,일본,2013-09-05,2013-09-05,19,95,2013-09-18,1794
 더블샤크,20131401,크리스토퍼 레이,20120079,미국,2013-09-05,2013-09-05,5,330,2013-09-18,5650
 뫼비우스,20139461,김기덕,10003696,한국,2013-09-05,2013-09-05,123,4959,2013-09-18,33505
 바람이 분다,20132082,미야자키 하야오,10027387,일본,2013-09-05,2013-09-05,274,12191,2013-09-18,102570
 블링 링,20130708,소피아 코폴라,10036760,미국,2013-09-05,2013-09-05,29,567,2013-09-18,4859
 섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,20132461,잘만 킹,10059601,미국,2013-09-05,2013-09-05,18,720,2013-09-18,884
 스파이,20124086,이승준,20128609,한국,2013-09-05,2013-09-05,695,133131,2013-09-18,1942759
 시체 전문 처리반 - 스머글러,20131941,이시이 카츠히토,10056380,일본,2013-09-05,2013-09-05,6,375,2013-09-18,1641
 천안함 프로젝트,20137585,백승우,20110853,한국,2013-09-05,2013-09-05,33,1258,2013-09-18,14747
 콜드 워,20131713,써니 럭|렁록만,20178040|20178041,홍콩,2013-09-05,2013-09-05,18,396,2013-09-18,2306
 킬링시즌,20131203,마크 스티븐 존슨,10024255,미국,2013-09-05,2013-09-05,102,878,2013-09-18,9100
 포가튼 : 잊혀진 소녀,20130667,알렉스 슈미트,20176340,독일,2013-09-05,2013-09-05,10,138,2013-09-18,1784
 마리아 스투아르다,20135271,데이비드 맥비카,20178821,미국,2013-09-07,2013-09-07,2,49,2013-09-20,287
 관상,20126091,한재림,10087712,한국,2013-09-11,2013-09-11,927,373552,2013-09-24,7165827
 낭만파 남편의 편지,20125228,최위안,10072560,한국,2013-09-12,2013-09-12,6,114,2013-09-25,1038
 몬스터 대학교,20135001,댄 스캔론,20168024,미국,2013-09-12,2013-09-12,273,9957,2013-09-25,654597
 부에노스 아이레스에서 사랑에 빠질 확률,20131281,구스타보 타레토,20177680,아르헨티나,2013-09-12,2013-09-12,10,247,2013-09-25,11984
 섀도우 헌터스: 뼈의 도시,20129588,해럴드 즈워트,10086779,미국,2013-09-12,2013-09-12,352,34177,2013-09-25,527593
 슈퍼배드 2,20122089,크리스 리노드|피에르 꼬팽,20112359|20100020,미국,2013-09-12,2013-09-12,303,6262,2013-09-25,727178
 우리 선희,20137041,홍상수,10089497,한국,2013-09-12,2013-09-12,38,2129,2013-09-25,43641
 퍼시 잭슨과 괴물의 바다,20137562,쏘어 프류덴탈,10040954,미국,2013-09-12,2013-09-12,380,12304,2013-09-25,475355
 아메리칸 배틀쉽,20132742,썬더 레빈,10035733,미국,2013-09-16,2013-09-16,2,520,2013-09-29,4882
 컨저링,20131381,제임스 완,10064265,미국,2013-09-17,2013-09-17,304,81130,2013-09-30,1611254
 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,아르헨티나,2013-09-17,2013-09-17,133,2342,2013-09-30,41926
 러시안 소설,20127526,신연식,10040499,한국,2013-09-19,2013-09-19,11,227,2013-10-02,3749
 아브라함 링컨 VS 좀비 ,20132966,리차드 쉔크만,10020134,미국,2013-09-20,2013-09-20,1,680,2013-10-03,5510
 블루 재스민,20131541,우디 앨런,10052035,미국,2013-09-25,2013-09-25,204,8659,2013-10-08,97320
 짓,20122466,한종훈,10087738,한국,2013-09-25,2013-09-25,148,2467,2013-10-08,23052
 퍼펙트,20131241,닐스 아르덴 오플레브,20125859,미국,2013-09-25,2013-09-25,115,2775,2013-10-08,17780
 가투의 연날리기,20135584,라잔 코사,20168800,인도,2013-09-26,2013-09-26,2,6,2013-10-09,245
 로미오와 줄리엣,20131043,케네스 맥밀란,20179054,영국,2013-09-26,2013-09-26,2,20,2013-10-09,371
 모테키: 모태솔로 탈출기,20131861,오오네 히토시,20171960,일본,2013-09-26,2013-09-26,6,340,2013-10-09,954
 벌거숭이,20125247,박상훈,20069019,한국,2013-09-26,2013-09-26,5,11,2013-10-09,426
 스트레인저 인사이드,20132881,아담 네우츠키-불프,20178960,덴마크,2013-09-26,2013-09-26,5,380,2013-10-09,1521
 아유레디?,20138482,허원,10088237,한국,2013-09-26,2013-09-26,19,288,2013-10-09,8201
 애프터 루시아,20131691,미셸 프랑코,20178023,멕시코,2013-09-26,2013-09-26,7,91,2013-10-09,1798
 체온 ? 그녀의 온도,20132794,타카오미 오가타,20178608,일본,2013-09-26,2013-09-26,5,371,2013-10-09,1591
 투 타이거,20132087,산드로 세카,20178208,이탈리아,2013-09-26,2013-09-26,1,510,2013-10-09,5460
 허니,20132743,세미 카플라노글루,10036086,터키,2013-09-26,2013-09-26,2,35,2013-10-09,713
 호비와 후후의 대모험: 무지개꽃을 구하라,20132381,히라바야시 이사무,20178567,일본,2013-09-26,2013-09-26,36,643,2013-10-09,13752
 히든 카드,20131630,브래드 퍼맨,10032080,미국,2013-09-26,2013-09-26,350,23283,2013-10-09,151468
 리골레토,20135272,마이클 메이어,20179063,미국,2013-09-28,2013-09-28,2,61,2013-10-11,478
 깡철이,20123381,안권태,10042824,한국,2013-10-02,2013-10-02,700,134531,2013-10-15,1155438
 댄서김의 은밀한 교수법,20133570,신혜성,20166836,한국,2013-10-02,2013-10-02,1,120,2013-10-15,1556
 로덴시아: 마법왕국의 전설,20132261,데이비드 비스바노,20178360,페루,2013-10-02,2013-10-02,125,2707,2013-10-15,88636
 소원,20134582,이준익,10057485,한국,2013-10-02,2013-10-02,609,91705,2013-10-15,1846077
 적인걸2 : 신도해왕의 비밀,20132262,서극,10035347,중국,2013-10-02,2013-10-02,169,5539,2013-10-15,45444
 정글번치 : 빙산으로의 귀환,20128079,다비드 알로|에릭 토스티,20175349|10048293,프랑스,2013-10-02,2013-10-02,126,1493,2013-10-15,55992
 프리즈너스,20130783,드니 빌뇌브,20113786,미국,2013-10-02,2013-10-02,295,24147,2013-10-15,185547
 프린세스 사쿠라,20132625,하시모토 하지메,10087276,일본,2013-10-02,2013-10-02,6,319,2013-10-15,1543
 하리수의 도색,20132741,양범,10046916,홍콩,2013-10-02,2013-10-02,5,830,2013-10-15,5674
 어떤 여인의 고백,20131862,아틱 라히미,10041820,프랑스,2013-10-03,2013-10-03,8,203,2013-10-16,1986
 소원택시,20133661,박창진,20179021,한국,2013-10-04,2013-10-04,1,60,2013-10-17,283
 히어로,20136059,김봉한|임경택,10004369|10058467,한국,2013-10-08,2013-10-08,38,428,2013-10-21,22692
 러시 : 더 라이벌,20132120,론 하워드,10018065,미국,2013-10-09,2013-10-09,252,19252,2013-10-22,121890
 비히클 19,20131821,무쿤다 마이클 드윌,20178084,미국,2013-10-09,2013-10-09,10,108,2013-10-22,4437
 쇼를 사랑한 남자,20132481,스티븐 소더버그,10039429,미국,2013-10-09,2013-10-09,11,719,2013-10-22,9647
 에코 플래닛 3D : 지구 구출 특급 대작전,20132601,콤핀 켐군니르드,20115754,태국,2013-10-09,2013-10-09,182,12785,2013-10-22,32869
 화이: 괴물을 삼킨 아이,20123383,장준환,10060507,한국,2013-10-09,2013-10-09,734,360280,2013-10-22,2012934
 그녀가 떠날 때,20124947,페오 알라다그,20127330,독일,2012-03-29,2012-03-29,12,300,2012-04-11,4967
 디어 한나,20113485,패디 콘시딘,10082446,영국,2012-03-29,2012-03-29,10,345,2012-04-11,6527
 세이지: 육지의 물고기,20125148,이세야 유스케,10056081,일본,2012-03-29,2012-03-29,0,0,2012-04-11,450
 시체가 돌아왔다,20124051,우선호,10052136,한국,2012-03-29,2012-03-29,402,47998,2012-04-11,803974
 타이탄의 분노,20124717,조나단 리브스만,10065332,미국,2012-03-29,2012-03-29,505,71799,2012-04-11,873647
 지크프리트,20124362,로베르트 르빠쥬,20166320,미국,2012-04-04,2012-03-29,0,0,2012-04-17,4
 에이리언 둠스데이,20133772,마크 앳킨스,10024294,미국,2013-10-10,2013-10-10,5,290,2013-10-23,5240
 진구세주전설 북두의권 Zero - 켄시로전,20132802,히라노 토시키,10090671,일본,2013-10-10,2013-10-10,6,17,2013-10-23,420
 황금을 안고 튀어라,20132902,이즈츠 카즈유키,10057531,일본,2013-10-10,2013-10-10,5,250,2013-10-23,1866
 그래비티,20139221,알폰소 쿠아론,10045281,미국,2013-10-17,2013-10-17,605,110996,2013-10-30,1924914
 네버다이 버터플라이,20138162,장현상,20172723,한국,2013-10-17,2013-10-17,15,110,2013-10-30,1319
 러브레이스,20058701,롭 엡스타인|제프리 프리드먼,10018207|10064874,미국,2013-10-17,2013-10-17,148,2134,2013-10-30,18703
 롤러코스터,20122785,하정우,10087253,한국,2013-10-17,2013-10-17,354,27564,2013-10-30,268879
 밤의 여왕,20123384,김제영,10005652,한국,2013-10-17,2013-10-17,312,28595,2013-10-30,251949
 백설공주: 또 다른 이야기,20133773,레이첼 골덴버그,10018353,미국,2013-10-17,2013-10-17,5,290,2013-10-30,5001
 버터 러버,20134143,짐 필드 스미스,20167544,미국,2013-10-17,2013-10-17,5,471,2013-10-30,4465
 벤다 빌릴리,20133413,리노드 바렛|플로렝 드 라 툴라예,20178900|20178901,프랑스,2013-10-17,2013-10-17,2,34,2013-10-30,899
 뷰티풀 라이즈,20130061,피에르 살바도리,10085457,프랑스,2013-10-17,2013-10-17,12,106,2013-10-30,879
 비단꽃길,20124052,김정욱,20125808,한국,2013-10-17,2013-10-17,7,40,2013-10-30,629
