,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day14_date,day14_audience
43,우리는 그곳에 있었다,한국,(주)씨타마운틴픽쳐스,0,0,전체관람가,다큐멘터리|어드벤처,2013-07-18,5,105,2013-07-31,1298
44,가비,한국,(주)시네마서비스,1885540,5345436,15세이상관람가,드라마|멜로/로맨스|미스터리,2012-03-15,315,23878,2012-03-28,266138
45,핑크,한국,(주)씨타마운틴픽쳐스,2113,803920,청소년관람불가,드라마,2012-03-15,11,60,2012-03-28,922
46,방독피,한국,(주)두엔터테인먼트 ,305384,44270,청소년관람불가,미스터리|스릴러,2013-08-22,1,4,2013-09-04,582
47,빈센트,독일,시네마 뉴원,0,1458,15세이상관람가,드라마,2013-06-27,6,319,2013-07-10,3611
48,슈퍼피쉬 - 끝없는 여정,한국,(주)씨타마운틴픽쳐스|(주)팝엔터테인먼트,0,1070178,전체관람가|전체관람가,다큐멘터리,2013-07-11,12,477,2013-07-24,2118
49,라 당스,프랑스,(주)영화사 진진,2782,2177,전체관람가,다큐멘터리,2013-08-22,5,250,2013-09-04,4382
50,카르페디엠,네덜란드,프리비젼엔터테인먼트,0,0,청소년관람불가,드라마|멜로/로맨스,2013-06-27,1,100,2013-07-10,830
51,허풍,한국,골든타이드픽처스(주),452,20578,청소년관람불가,코미디|판타지|멜로/로맨스,2013-08-14,3,106,2013-08-27,551
52,빅 웨딩,미국,(주)나이너스엔터테인먼트,0,2403340,청소년관람불가,멜로/로맨스|코미디,2013-06-27,149,5044,2013-07-10,33474
53,원더풀 라디오,한국,(주)쇼박스,610392,4264636,15세이상관람가,드라마|멜로/로맨스,2012-01-05,421,60371,2012-01-18,882472
54,월드 워 Z,미국,롯데쇼핑㈜롯데엔터테인먼트,365632,1020011,15세이상관람가|15세이상관람가,드라마|스릴러|SF|액션|어드벤처,2013-06-20,802,239692,2013-07-03,3553992
55,서약,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,0,1209048,15세이상관람가,드라마|멜로/로맨스,2012-03-14,284,37219,2012-03-27,232646
56,매니악 : 슬픈 살인의 기록,미국,(주)퍼스트런,0,0,청소년관람불가,공포(호러)|스릴러,2013-07-04,32,255,2013-07-17,2780
57,송곳니,그리스,(주)컴퍼니엘,57721,0,청소년관람불가,코미디|드라마,2012-01-05,1,44,2012-01-18,400
58,이별계약,한국,씨제이이앤엠(주),820307,75495,12세이상관람가,멜로/로맨스|드라마,2013-06-20,60,1705,2013-07-03,16278
59,타이치0 3D,홍콩,(주)영화사 빅,818,0,12세이상관람가|12세이상관람가,코미디|액션,2013-07-04,110,1325,2013-07-17,16285
60,화차,한국,필라멘트픽쳐스,54291,3454220,15세이상관람가,미스터리,2012-03-08,456,74855,2012-03-21,1761276
61,러브 인 코리아,한국,프리포트,3932,0,12세이상관람가,다큐멘터리,2013-08-08,3,6,2013-08-21,190
62,어느 예술가의 마지막 일주일,프랑스,프리비젼엔터테인먼트,11575,172150,15세이상관람가,드라마,2013-06-20,16,437,2013-07-03,9873
63,페이퍼보이: 사형수의 편지,미국,(주)퍼스트런,64006,1283065,청소년관람불가,스릴러,2013-08-08,11,319,2013-08-21,3033
64,밍크코트,한국,㈜인디스토리,264889,1660,15세이상관람가,드라마,2012-01-12,13,149,2012-01-25,1872
