,actor_code,filmo,filmo_code,average_audience
13751,10019065,7번방의 선물,20127593,2584715
13755,10050151,7번방의 선물,20127593,3122629
13771,20167801,나비와 바다,20125431,0
13709,10046098,몬스터 호텔,20129156,419591
13754,10062279,7번방의 선물,20127593,2696297
13736,20167745,뽀로로 극장판 슈퍼썰매 대모험,20123681,157934
13783,10057255,명탐정 코난:은빛 날개의 마술사,20048799,282341
13737,10087915,뽀로로 극장판 슈퍼썰매 대모험,20123681,445014
13748,20122643,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13742,20144914,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13779,10082454,레이디 가가 : 온 더 엣지,20134065,188
13769,20184710,나비와 바다,20125431,0
13704,10037628,로봇 앤 프랭크,20121094,108239
13746,20166852,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13697,10025549,프레셔스,20122224,126870
13776,10044600,더 헌트,20122222,0
13743,20184096,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13787,10061467,베를린,20124083,3230323
13744,20184147,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13731,10012005,잭 리처,20123333,71526
13766,10028686,7번방의 선물,20127593,358712
13758,10061699,7번방의 선물,20127593,1069622
13740,10061737,뽀로로 극장판 슈퍼썰매 대모험,20123681,226297
13749,20185302,뽀로로 극장판 슈퍼썰매 대모험,20123681,0
13761,20113410,7번방의 선물,20127593,0
13799,20157940,부도리의 꿈(감독판),20134505,18981
13764,20134444,7번방의 선물,20127593,0
13701,10084632,로봇 앤 프랭크,20121094,119776
13693,20111932,파이스토리 : 악당상어 소탕작전,20122803,640681
13792,20169325,베를린,20124083,0
13760,20182451,7번방의 선물,20127593,0
13706,10041325,몬스터 호텔,20129156,154379
13778,20166682,레이디 가가 : 온 더 엣지,20134065,0
13762,20158664,7번방의 선물,20127593,0
13728,10016560,잭 리처,20123333,163209
13763,20185288,7번방의 선물,20127593,0
13767,10066926,7번방의 선물,20127593,1477625
13759,10003728,7번방의 선물,20127593,1172108
13790,20127192,베를린,20124083,3046644
13757,10005617,7번방의 선물,20127593,1037583
13818,20111082,하울링,20110249,114303
13802,20162026,부도리의 꿈(감독판),20134505,18981
13810,20179958,하울링,20110249,0
13822,20137914,레전드 오브 래빗,20113982,0
13804,10056617,하울링,20110249,0
13813,20181220,하울링,20110249,0
13842,10004518,물고기,20119509,1505
13892,10059909,블랑섹의 기이한모험,20135242,0
13807,20111408,하울링,20110249,1119700
13848,10078687,헨리스 크라임,20134001,447755
13808,10058906,하울링,20110249,603
13828,20126693,언더월드 4: 어웨이크닝,20124746,11287
13855,20168162,반달곰,20129332,0
13805,20111314,하울링,20110249,874231
13820,20112888,하울링,20110249,1650036
13819,10066710,하울링,20110249,736
13801,10047326,부도리의 꿈(감독판),20134505,105078
13825,10049440,맨 온 렛지,20124420,236776
13817,10040580,하울링,20110249,4384227
13816,20110924,하울링,20110249,1914779
13815,10029157,하울링,20110249,0
13844,20126810,물고기,20119509,3996
13803,10037018,하울링,20110249,4380179
13814,20181704,하울링,20110249,0
13826,10075719,언더월드 4: 어웨이크닝,20124746,308756
13824,10035005,맨 온 렛지,20124420,1734877
13833,20126368,움,20124167,1625043
13890,10024645,블랑섹의 기이한모험,20135242,6419
13889,20113460,블랑섹의 기이한모험,20135242,117545
13851,10068893,헨리스 크라임,20134001,2534867
13843,20126225,물고기,20119509,0
13852,20168160,반달곰,20129332,0
13858,10050564,남쪽으로 튀어,20125990,59277
13882,10025732,다이하드: 굿 데이 투 다이,20123387,287301
13995,10035836,차이니즈 조디악,20122843,424291
13821,10047326,레전드 오브 래빗,20113982,102363
13845,20141210,물고기,20119509,0
13898,20167622,굿바이 홈런,20112457,0
13809,20133634,하울링,20110249,1527375
13893,20166221,비스트,20133923,8631
13865,20183132,남쪽으로 튀어,20125990,0
13806,10028634,하울링,20110249,0
13950,20236009,분노의 윤리학,20128747,0
13846,20183792,물고기,20119509,0
13879,10032511,다이하드: 굿 데이 투 다이,20123387,458545
13881,10082650,다이하드: 굿 데이 투 다이,20123387,336016
13864,20182107,남쪽으로 튀어,20125990,0
13878,10054119,남쪽으로 튀어,20125990,90286
13854,20168161,반달곰,20129332,0
13943,20167602,더 자이언트,20123821,0
13849,10030781,헨리스 크라임,20134001,1001795
13969,20182742,신세계,20124401,0
13899,20183583,굿바이 홈런,20112457,0
