,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
29,치코와 리타,20113501,스페인|영국,찬란,15세이상관람가,애니메이션|멜로/로맨스,페르난도 트루에바|하비에르 마리스칼|토노 에란도,에만 소르 오냐|리마라 메니시스,
30,명왕성,20120110,한국,(주)싸이더스,15세이상관람가,드라마|스릴러,신수원,이다윗|성준|김꽃비|김권|류경수|선주아|남태부|길해연|황정민|박현영|한솔|한창훈|황성규|조성하,김준|유진 테일러|정수진|한명호|박정재|강미라|최보람|준의 모|명호 모|김 선생|그 외의 출연진들|그 외의 출연진들|예비 1순위|박 반장
31,토토의 움직이는 숲,20126253,덴마크,(주)미디어데이,전체관람가,애니메이션,에스벤 토프트 야콥슨,마르쿠스 리가드,
32,세 번째 사랑,20113491,캐나다|이탈리아,(주)씨타마운틴픽쳐스,청소년관람불가,멜로/로맨스|드라마,리처드 J. 루이스,폴 지아마티|로자먼드 파이크|더스틴 호프만,
33,론 레인저,20136862,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션|어드벤처,고어 버빈스키,조니 뎁|아미 해머|헬레나 본햄 카터,톤토 |론 레인저 |레드
34,부기우기: 상위 1%의 섹스,20098216,영국,(주)소나무픽쳐스,청소년관람불가,코미디|드라마,던컨 워드,질리언 앤더슨|아만다 사이프리드,
35,콤플렉스,20139882,일본,미디어소프트,15세이상관람가,공포(호러),나카타 히데오,마에다 아츠코|나리미야 히로키,아스카|사사하라
36,에픽 : 숲속의 전설,20138202,미국,이십세기폭스코리아(주),전체관람가|전체관람가,애니메이션|어드벤처,크리스 웻지,아만다 사이프리드|조쉬 허처슨|콜린 파렐|제이슨 서디키스|비욘세 놀즈|조니 녹스빌|크리스토프 왈츠|스티븐 타일러|한승연|정진운,MK |노드|로닌|봄바 |타라 여왕 |맨드레이크 |맨드레이크|님갈루|MK (한국어 목소리)|노드 (한국어 목소리)
37,이고르와 학의 여행,20130801,이스라엘|독일|폴란드,㈜영화사 백두대간,전체관람가,가족|어드벤처|드라마,예프게니 루만,이타이 슈체르베크|토마슈 솝자크,이고르|피터
38,렛 미 아웃,20125232,한국,㈜영화사 백두대간,12세이상관람가,드라마|코미디,김창래|소재영,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정,무영|미영|코디|엑스트라|로디|학생2|오프닝 좀비들|좀비4|엑스트라|오프닝 좀비들
39,브레이크 블레이드6: 결전의 시간,20131822,일본,(주)케이알씨지,전체관람가,애니메이션,하바라 노부유시,호시 소이치로|사이토 치와,
40,그리고 싶은 것,20122121,한국,(주)시네마달,전체관람가,다큐멘터리,권효,권윤덕|심달연|세이조 타시마|케이코 하마다|김여진,그림책 구연 
41,미스터 고,20124082,한국|중국,(주)쇼박스,12세이상관람가|12세이상관람가,코미디|드라마,김용화,서교|성동일|이훈민|임동욱|임승묵|임왕섭|천재성|최인호|박정훈|배지현|조재윤|변희봉|김성주|김인우|김희원,중국 지진 피해자|동물병원 주인|림샤오강 행동대원|림샤오강 행동대원|고의사구 NC 투수|런닝머신 모델|NC투수|스포츠 뉴스 아나운서|정형외과 의사|웨이웨이의 할아버지 |나레이션|요미우리 단장 |림 샤오강
42,홈 스위트 홈,20111957,한국,이미지팩토리,청소년관람불가,드라마,문시현,김영훈|유애경|이광수|임성권|정해영|정희섭|조영직|허진호|이미란|오진우|김종수,태수|세라|신욱|경찰서형사들|보험사 직원/꽃 배달원|경찰서형사들|고시원 남자|태수 고향친구|동네주민커플|마 선생
43,극장판 헌터X헌터 : 팬텀루즈,20139262,일본,씨너스엔터테인먼트(주),15세이상관람가,애니메이션,사토 유조,카와시마 우미카|후지키 나오히토,
44,우리는 그곳에 있었다,20126673,한국,(주)씨타마운틴픽쳐스,전체관람가,다큐멘터리|어드벤처,박준기,유학재|정재학|박준기|황영순,출연
45,가비,20111774,한국,(주)시네마서비스,15세이상관람가,드라마|멜로/로맨스|미스터리,장윤현,주진모|김소연|박희순|유선|손호승|채현우|홍준표|오동현|조승연|조덕현|조덕제|엄효섭,일리치|따냐|고종|사다코|김홍륙|조선사신단통역관|밀고남|조선무기상|민영환|석주|첩자의전관|단이 아버지
46,핑크,20112702,한국,(주)씨타마운틴픽쳐스,청소년관람불가,드라마,전수일,이승연|서갑숙|이원종|장병문|정현호|권종현|주경철|김푸름|이지환|박주석|박현우|신상호,수진|옥련|경수|핑크손님들|핑크손님들|오토바이남|폐가청소년들|폐가청소년들|전경들|핑크손님들|상국|전경들
47,방독피,20100793,한국,(주)두엔터테인먼트 ,청소년관람불가,미스터리|스릴러,김선|김곡,장리우|박지환|조영진|임수아|잇을|장현남|정병욱|정섬|정지선|정훈|조문식|조아라|지연|진지현|최기수|김경민|김경민|한동수|한휘수|홍경원|홍두현|홍준원|황인태|김은희|박성미|박성미|박지원|오태호,"주차요원 보식|주상근 서울 시장|개표상황실 기자, 당원|연출팀|굿구경꾼|개표상황실 기자, 당원|정섬|여당원|굿구경꾼|개표상황실 기자, 당원/투표장사진기자|자살군단6|선글라스여인|개표상황실 기자, 당원|악사2|피켓시위대1|엔딩 연기속사람/단체목소리|자살군단7|투표장사진기자|선글라스여인 액션대역/엔딩 연기속사람/단체목소리|개표상황실 기자, 당원|개표상황실 기자, 당원|개표상황실 기자, 당원|피켓시위대2|자살군단4|투표장사진기자|여경|시장후보 오태호"
48,빈센트,20138608,독일,시네마 뉴원,15세이상관람가,드라마,랄프 후에트너,플로리안 데이비드 핏츠|카롤리네 헤어퍼스,
49,슈퍼피쉬 - 끝없는 여정,20138502,한국,(주)씨타마운틴픽쳐스|(주)팝엔터테인먼트,전체관람가|전체관람가,다큐멘터리,이기연|송웅달|이지운,유동근,내레이션
50,라 당스,20130784,프랑스|미국,(주)영화사 진진,전체관람가,다큐멘터리,프레데릭 와이즈만,에밀리 코제트|오렐리 뒤퐁,
51,카르페디엠,20134485,네덜란드,프리비젼엔터테인먼트,청소년관람불가,드라마|멜로/로맨스,레이노앗 오얼레만스,캐리스 밴 허슨|바리 아츠마|안나 드리베르,
52,허풍,20130243,한국,골든타이드픽처스(주),청소년관람불가,코미디|판타지|멜로/로맨스,공자관,이덕재|김동수|박진위|지나|혜진,정효선|처녀귀신
53,빅 웨딩,20138884,미국,(주)나이너스엔터테인먼트,청소년관람불가,멜로/로맨스|코미디,저스틴 잭햄,아만다 사이프리드|벤 반스|로버트 드니로|캐서린 헤이글|다이안 키튼|수잔 서랜든|로빈 윌리엄스|토퍼 그레이스,미시|알레한드로|돈|라일라|엘리|비비|모나한 신부|제러드
54,원더풀 라디오,20113671,한국,(주)쇼박스,15세이상관람가,드라마|멜로/로맨스,권칠인,이민정|이정진|이광수|서영|황보현|이범규|박지연|서미래|김병옥|조우진|김해숙|김창완|지대한,신진아|이재혁|대근|선배PD|녹음실 사내|막내작가|스탠딩|임국장|이여사|김창완-까메오|다희 아빠
55,월드 워 Z,20122122,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가|15세이상관람가,드라마|스릴러|SF|액션|어드벤처,마크 포스터,브래드 피트|미레유 에노스|매튜 폭스,제리 레인|카린 레인
56,서약,20124874,미국|프랑스|브라질,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,드라마|멜로/로맨스,마이클 수치,레이첼 맥아담스|채닝 테이텀,페이지 |레오 
57,매니악 : 슬픈 살인의 기록,20137964,미국,(주)퍼스트런,청소년관람불가,공포(호러)|스릴러,프랭크 칼폰,일라이저 우드|노라 아르네제더,프랭크|애나
58,송곳니,20113591,그리스,(주)컴퍼니엘,청소년관람불가,코미디|드라마,요르고스 란티모스,크리스토스 스테르기오글루|미셸 발리,
59,이별계약,20137081,한국|중국,씨제이이앤엠(주),12세이상관람가,멜로/로맨스|드라마,오기환,펑위옌|백백하|장경부|오패자|최한기,KOREAN CHEF          
60,타이치0 3D,20139081,홍콩,(주)영화사 빅,12세이상관람가|12세이상관람가,코미디|액션,풍덕륜,원효초|안젤라 베이비|펑위옌|양가휘|오언조,로선|진옥랑
61,화차,20124050,한국,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,이선균|김민희|조성하|송하윤|차수연|임남숙|임순옥|장대윤|황남희|박지은|박지혜|송성원|오기민|최덕문|이희준|진선규|최일화,문호 |선영|종근 |한나 |시체보관소직원|입석리주민3|제천지구대장|여앵커|이현숙|여형사|카센터정비사|저수지낚시꾼|하성식|노승주|사무장|문호 부
62,러브 인 코리아,20119827,한국,프리포트,12세이상관람가,다큐멘터리,박제욱,마붑 알엄 펄럽|리아즈,나오는 사람들
63,어느 예술가의 마지막 일주일,20134484,프랑스|독일|벨기에,프리비젼엔터테인먼트,15세이상관람가,드라마,마르잔 사트라피|뱅상 파로노,마티유 아말릭|마리아 드 메데이로스|이사벨라 로셀리니,나세르-알리|파린귀세|파르빈느
64,페이퍼보이: 사형수의 편지,20120464,미국,(주)퍼스트런,청소년관람불가,스릴러,리 다니엘스,니콜 키드먼|잭 에프런|존 쿠삭|매튜 매커너히,샬롯 블레스|잭 제임스|힐러리 반 웨터|워드 제임스
65,밍크코트,20112781,한국,㈜인디스토리,15세이상관람가,드라마,이상철|신아가,황정민|김미향|정희성|이상철|이재희|노형석|노형석|박상욱|박지만|신아가|신준호,현순|명순|교인2|회계사|아파트아이들|장발남|목소리출연|남의사|우유보급소 사장|여의사|병원환자
66,코리올라누스: 세기의 라이벌,20139822,영국,(주)팝파트너스,15세이상관람가,전쟁|드라마|스릴러,랄프 파인즈,제라드 버틀러|랄프 파인즈|바네사 레드그레이브,틀루스 아우피디우스 |카이오 마티어스 콜리올라누스|보럼니아
67,버니,20138582,미국,(주)미디어데이,15세이상관람가,코미디|범죄|드라마,리차드 링클레이터,잭 블랙|매튜 매커너히|셜리 맥클레인,
68,드래곤볼Z : 신들의 전쟁,20131681,일본,(주)인벤트스톤,전체관람가,애니메이션|액션|어드벤처|SF,호소다 마사히로,김환진,
69,슈퍼히어로,20139821,페루,(주)영화사 빅,전체관람가,애니메이션|SF|어드벤처,에두와르도 슐츠,김환진,
70,마지막 4중주,20139826,미국,(주)티캐스트,15세이상관람가,드라마,야론 질버만,필립 세이모어 호프만|크리스토퍼 월켄|캐서린 키너|마크 이바니르,로버트|피터 미첼|줄리엣 겔바트|다니엘 러너
71,모니카와의 여름,20134481,스웨덴,㈜영화사 백두대간,청소년관람불가,드라마|멜로/로맨스,잉마르 베리만,해리엇 안데르손|라스 에크보리,
72,킬링 타임,20119516,한국,(주)데이드림서울,청소년관람불가,공포(호러),박성수,정애연|이지혜|김진근|김병춘,혜림|수진|병헌
73,엽문4: 종극일전,20139863,홍콩,(주)소나무픽쳐스,15세이상관람가,드라마|액션,구예도,황추생|증지위,
74,월하의 침략자,20123624,일본,(재)전주국제영화제조직위원회,전체관람가,다큐멘터리,마에다 켄지,황추생|증지위,
75,테르마이 로마이,20139724,일본,브릿지웍스 엔터테인먼트(주),15세이상관람가,코미디|판타지,타케우치 히데키,아베 히로시|우에토 아야,루시우스|야마코시 마나미
76,"힘내세요, 병헌씨",20122123,한국,㈜인디스토리,15세이상관람가,코미디|드라마,이병헌,홍완표|양현민|김영현|허준석|이재광|이창한|정현정|조휘상|강호규|강호규|김경진|김수완|황인국|김영천|노승보|박성민|박영석|심상혁|양동엽|이병헌,단편현장 스텝4|남고생1|막내작가|극장관객4|단편현장 스텝2|촬영팀|영화현장 연출부2|제작팀|인국|그립|촬영|매니지먼트2 대표|유명배우매니저|단편현장 스텝1|단편현장스탭1|영화현장 연출부1
77,마이 백 페이지,20113483,일본,팝엔터테인먼트|(주)영화사조아,15세이상관람가,드라마,야마시타 노부히로,츠마부키 사토시|마츠야마 켄이치|이시바시 안나,
78,토니 스토리: 깡통제국의 비밀,20139141,독일,(주)영화사 빅,전체관람가,애니메이션,토마스 보덴스타인,정준하,한국어 예고편 내레이션
79,감시자들,20122783,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄|액션,조의석|김병서,설경구|정우성|한효주|진경|이준호|임달화|손민석|김대진|이태형|강신하|이동휘|이화정|김진곤|박지훈|김지훈|신성일|변요한|정우근|장원형|장유리|조도연|지영준|한영주|문성렬|박영진|박지연|백동현|신경철|이가람|이상민|김병옥,황반장|제임스|하윤주|이실장|다람쥐|우정출연-수트남|원숭이|독사|나무늘보|두더지|앵무새|타조|송팀|특공|뚱|고혈압|엠쓰리|스쿠프|허수아비|섹시녀1|SJ홀딩스 직원|통제팀|SJ홀딩스 직원|배달스쿠터|안경남|통제녀|밀실남|시장남|은행보안요원|정통
80,감시자들,20122783,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄|액션,조의석|김병서,설경구|정우성|한효주|진경|이준호|임달화|손민석|김대진|이태형|강신하|이동휘|이화정|김진곤|박지훈|김지훈|신성일|변요한|정우근|장원형|장유리|조도연|지영준|한영주|문성렬|박영진|박지연|백동현|신경철|이가람|이상민|김병옥,황반장|제임스|하윤주|이실장|다람쥐|우정출연-수트남|원숭이|독사|나무늘보|두더지|앵무새|타조|송팀|특공|뚱|고혈압|엠쓰리|스쿠프|허수아비|섹시녀1|SJ홀딩스 직원|통제팀|SJ홀딩스 직원|배달스쿠터|안경남|통제녀|밀실남|시장남|은행보안요원|정통
81,인 더 하우스,20139121,프랑스,찬란,15세이상관람가,스릴러|드라마,프랑소와 오종,파브리스 루치니|크리스틴 스콧 토마스|에른스트 움하우어|엠마누엘 자이그너,제르망|쟝|클로드|에스더
82,밀레니엄 : 여자를 증오한 남자들,20110882,미국|스웨덴|영국|독일,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,스릴러|드라마,데이빗 핀처,다니엘 크레이그|루니 마라,
83,까밀 리와인드,20134068,프랑스,(주)엣나인필름,15세이상관람가,드라마,노에미 르보브스키,노에미 르보브스키|사미르 구에스미|욜랭드 모로|미셸 빌레모,까밀|에릭|까밀의 엄마|까밀의 아빠
84,사이드 이펙트,20139723,미국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러|범죄|드라마,스티븐 소더버그,주드 로|루니 마라|채닝 테이텀|캐서린 제타-존스|앤 도드,조나단 뱅크스|에밀리 테일러|마틴 테일러|에리카 시버트
85,극장판 도라에몽: 진구의 비밀도구 박물관,20139383,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션|어드벤처,테라모토 유키요,미즈타 와사비|오오하라 메구미,도라에몽|노비타
86,스톨른,20130251,미국,(주)팝파트너스,청소년관람불가,액션|스릴러,사이먼 웨스트,니콜라스 케이지|말린 애커맨|조쉬 루카스,윌 몽고메리|라일리 심즈|빈센트 킨제이
87,넥스트 투모로우,20130389,미국,(주)케이알씨지,12세이상관람가,SF|액션,트레비스 포트,패트릭 라비오토,
88,은밀하게 위대하게 (확장판),20131304,한국,(주)쇼박스,15세이상관람가,액션|코미디|드라마,장철수,김수현|박기웅|이현우|손현주,
89,스페이스 독,20124939,러시아,예지림엔터테인먼트,전체관람가|전체관람가,애니메이션|코미디|가족,이나 예블라니코바|스비야토슬라브 우샤코프,엘레나 야코블레바|안나 볼쇼바,스트렐카 |벨카 
90,저스티스,20124932,미국,(주)쇼박스,청소년관람불가,액션|드라마|스릴러,로저 도널드슨,니콜라스 케이지|가이 피어스|재뉴어리 존스,
91,라 트라비아타,20139824,독일,(주)케빈앤컴퍼니,전체관람가,공연,후고 데 아나,니콜라스 케이지|가이 피어스|재뉴어리 존스,
92,더 울버린,20137121,미국,이십세기폭스코리아(주),15세이상관람가|15세이상관람가,액션|SF,제임스 맨골드,휴 잭맨|사나다 히로유키|윌 윤 리,울버린|야시다 신겐|하라다 /실버 사무라이
93,영춘권 무림 절대 고수,20130592,중국,(주)소나무픽쳐스,15세이상관람가,액션|코미디,장동조,백정|여소군,
94,코스모폴리스,20138882,캐나다|프랑스|포르투갈|이탈리아,(주)더블앤조이픽쳐스,청소년관람불가,드라마,데이빗 크로넨버그,로버트 패틴슨|줄리엣 비노쉬|폴 지아마티|제이 바루첼|케빈 두런드|사만다 모튼,
95,더 테러 라이브,20136052,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,범죄|기타,김병우,하정우|이경영|전혜진|이다윗|이재관|이춘연|장성환|전려경|박수화|김홍파|김대명|최진호,윤영화|차대은|박정민|박신우|주진철 보좌관2|대통령|APN 기자|112|두번째청취자|주진철|박신우 목소리|이상진 앵커
96,크로니클,20124666,미국,이십세기폭스코리아(주),15세이상관람가,액션|스릴러,조쉬 트랭크,데인 드한|알렉스 러셀|마이클 B. 조던|애슐리 힌쇼,앤드류 디트머 |맷 게레티 |스티브 몽고메리 |케이시 레터 
97,터보,20137549,미국,씨제이이앤엠(주),전체관람가|전체관람가,애니메이션,데이빗 소렌,라이언 레놀즈|폴 지아마티|마이클 페나|사무엘 L. 잭슨|루이스 구즈만|스눕 독|미쉘 로드리게즈,터보|체트|티토|위플래쉬|안젤로|스무브
98,밀크 오브 소로우-슬픈 모유,20131721,스페인|페루,㈜영화사 백두대간,15세이상관람가,드라마,클로디아 로사,마갈리 솔리에르|수지 산체스,파우스타|아이다
