,movie_name,director_average
173, 죽지않아,552
174, 페이퍼보이: 사형수의 편지,64006
175, 페인리스,0
176, 포 엘렌,4546
177, 포르노그래픽 러브,0
178," 가자, 장미여관으로",1372
179, 감기,853465
180, 더 팩트,0
181, 세상의 끝까지 21일,0
182, 숨바꼭질,1209082
183, 슈퍼윙스 3D,0
184, 언어의 정원,937888
185, 체리밤,0
186," 패션, 위험한 열정",148402
187, 퍼시픽 모비딕,0
188, 허풍,452
189, V/H/S/2: 악마를 부르는 비디오,25774
190, 그리고 싶은 것,833
191, 나폴라,185269
192, 렛 미 아웃,1136978
193, 루팡 3세 : 바빌론의 황금전설,0
194, 오일 마사지샵의 비밀,7
195, 월하의 침략자,0
196, 전쟁과 한 여자,0
197, 식스 블릿츠: 분노의 추적,30826
198, 잔혹 동화 : 헌팅 오브 엘레나,0
199, 가시꽃,11785
200, 고스트,23
201, 그녀는 불륜매니아,19
202, 나우 유 씨 미 : 마술사기단,1045768
203, 드리프트,0
204, 라 당스,2782
205, 마이 프리티 걸,0
206, 밀크 오브 소로우-슬픈 모유,0
207, 방독피,305384
208, 벤젠스,0
209, 브레이크 블레이드6: 결전의 시간,104
210, 비바 프랑스,0
211, 스와핑 클럽,0
212, 아름다운 이별은 없다,361
213, 일대종사,80668
214, 장강7호 : 내친구 마법요정,2807
215, 투 마더스,74704
216, 폭스파이어,7743
217, R.I.P.D. : 알.아이.피.디.,399416
218, 무사 4대 문파와의 혈투,12
219, 팬더와 친구들의 모험,13594
220, 수상한 가족,423
221, 얼짱녀 어부,0
222, 관음 - 욕망의 유희,454
223, 노 원 리브스,58255
224, 더 레터,0
225, 드래곤볼Z : 신들의 전쟁,0
226, 마지막 불륜,5
227, 미츠에의 남친 고르기,7
228, 북극의 후예 이누크,0
229, 불량경찰: 부정부패 소탕작전,128
230, 빨간 욕정-꿈의 정사,2
231, 가을 소나타,3807
232, 건축학개론,251314
233, 달팽이의 별,777
234, 밀레니엄 : 제2부 불을 가지고 노는 소녀,2457
235, 스페이스 독,0
236, 양자탄비 ,32842
237, 언터처블: 1%의 우정,40321
238, 콘트라밴드,169993
239, 해로 (偕老),510604
240, 사쿠라-마지막 정사,0
241, 삼총사2013,1
242, 시크릿,0
243, 아티스트 봉만대,221132
244, 악의교전,90381
245, 엘리시움,713758
246, 우리들의 헤어진 여자친구,330
247, 일탈여행: 프라이빗 아일랜드,7007
248, 잡스,0
249, 짚의 방패,89906
250, 카라스: 프로퍼시,695
251, 탱고 위드 미,16116
252, 할매,1399
253, 할매-시멘트정원,755
254, 2 데이즈 인 뉴욕,27490
255, 개똥이,776
256, 괜찮아 3반,1149
257, 더블샤크,86
258, 뫼비우스,84505
259, 미스체인지,618833
260, 바람이 분다,597956
261, 블링 링,41464
262, 섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,100051
263, 스파이,0
264, 시체 전문 처리반 - 스머글러,2096
265, 완전한 감금,5
266, 잔다라: 더 비기닝,791
267, 천안함 프로젝트,222
268, 콜드 워,2624
269, 쾌락지구 2,481
