,movie_name,movie_code,director_name,director_code,nation,release_date,day1_screen,day1_audience,day8_date,day8_audience,director_sum
54, 넥스트 투모로우,20130389,트레비스 포트,20176120,미국,2013-07-11,3,180,2013-07-18,1020,662321
55, 마스터 ,20138982,폴 토마스 앤더슨,10083853,미국,2013-07-11,36,1404,2013-07-18,14961,200004
56, 명왕성,20120110,신수원,10040434,한국,2013-07-11,78,1107,2013-07-18,11887,1384062
57, 사이드 이펙트,20139723,스티븐 소더버그,10039429,미국,2013-07-11,165,4096,2013-07-18,36618,399667
58, 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,한국,2013-07-11,12,477,2013-07-18,1815,2113
59, 슬립리스 나이트,20139842,프레데릭쟈댕,20176060,프랑스,2013-07-11,1,186,2013-07-18,1488,302199
60, 코리올라누스: 세기의 라이벌,20139822,랄프 파인즈,10014377,영국,2013-07-11,3,319,2013-07-18,1944,0
61, 콩가네,20124031,남기웅,10007504,한국,2013-07-11,3,154,2013-07-18,655,0
62, 퍼시픽 림,20136961,길예르모 델 토로,10003461,미국,2013-07-11,961,209975,2013-07-18,1760936,0
63, 미스터 고,20124082,김용화,10005151,한국,2013-07-17,840,94955,2013-07-24,880741,0
64, 까밀 리와인드,20134068,노에미 르보브스키,10008136,프랑스,2013-07-18,23,1078,2013-07-25,9026,3727
65, 레드: 더 레전드,20136962,딘 패리소트,10013627,미국,2013-07-18,497,131462,2013-07-25,1520544,247
66, 브로큰,20122230,루퍼스 노리스,20168766,영국,2013-07-18,16,312,2013-07-25,2065,319469
67, 에어라인 플라이트,20130669,존 윌리스 3세,10068240,미국,2013-07-18,2,180,2013-07-25,1870,187849
68, 우리는 그곳에 있었다,20126673,박준기,20128869,한국,2013-07-18,5,105,2013-07-25,1061,3618076
69, 테르마이 로마이,20139724,타케우치 히데키,20112234,일본,2013-07-18,7,136,2013-07-25,2488,411513
70, 토니 스토리: 깡통제국의 비밀,20139141,토마스 보덴스타인,20172322,독일,2013-07-18,188,6502,2013-07-25,61511,0
71, 영춘권 무림 절대 고수,20130592,장동조,10060121,중국,2013-07-19,5,527,2013-07-26,3179,3449
72, 극장판 마법소녀 마도카 마기카(전편): 시작의 이야기,20130542,신보 아키유키,20176100,일본,2013-07-20,8,856,2013-07-27,3197,48885
73, 극장판 마법소녀 마도카 마기카(후편): 영원의 이야기,20130543,신보 아키유키,20176100,일본,2013-07-20,8,849,2013-07-27,3199,1719001
74, 신검전설,20136223,우얼샨,10051976,중국,2013-07-24,8,400,2013-07-31,1100,343877
75, 그랑블루 리마스터링 감독판,20130252,뤽 베송,10019011,프랑스,2013-07-25,33,793,2013-08-01,9615,0
76, 극장판 도라에몽: 진구의 비밀도구 박물관,20139383,테라모토 유키요,10079674,일본,2013-07-25,225,8445,2013-08-01,95532,2784
77, 더 울버린,20137121,제임스 맨골드,10064101,미국,2013-07-25,694,138359,2013-08-01,976763,552
78, 더 트랩: 난간 끝에 선 남자,20130710,매튜 채프먼,10025210,미국,2013-07-25,2,180,2013-08-01,1780,64006
79, 저스티스,20124932,로저 도널드슨,10017708,미국,2012-03-15,138,4592,2012-03-22,40976,0
80, 청춘그루브,20116038,변성현,10031356,한국,2012-03-15,5,31,2012-03-22,828,1372
81, 크로니클,20124666,조쉬 트랭크,20126769,미국,2012-03-15,297,31489,2012-03-22,295885,853465
82, 킬링 타임,20119516,박성수 ,20111994,한국,2012-03-15,1,31,2012-03-22,131,0
83, 핑크,20112702,전수일,10061331,한국,2012-03-15,11,60,2012-03-22,626,0
84, 홈 스위트 홈,20111957,문시현,20112401,한국,2012-03-15,4,11,2012-03-22,190,1209082
85, 링,20129099,이진혁,20121463,한국,2013-07-25,19,111,2013-08-01,1136,0
86, 마지막 4중주,20139826,야론 질버만,10046440,미국,2013-07-25,29,1672,2013-08-01,19638,937888
87, 스프링 브레이커스,20138955,하모니 코린,10086841,미국,2013-07-25,1,49,2013-08-01,357,148402
88, 콤플렉스,20139882,나카타 히데오,10007255,일본,2013-07-25,3,92,2013-08-01,533,0
89, 터보,20137549,데이빗 소렌,20171784,미국,2013-07-25,456,63108,2013-08-01,1027696,452
90, 페르소나,20136821,잉마르 베리만,10059012,스웨덴,2013-07-25,1,69,2013-08-01,621,833
91, 더 테러 라이브,20136052,김병우,10004291,한국,2013-07-31,674,215832,2013-08-07,2552083,1136978
92, 슈퍼히어로,20139821,에두와르도 슐츠,20169161,페루,2013-07-31,60,1329,2013-08-07,11037,1136978
93, 스톨른,20130251,사이먼 웨스트,10034365,미국,2013-07-31,13,664,2013-08-07,1744,0
94, 개구쟁이 스머프 2,20136761,라자 고스넬,10014146,미국,2013-08-01,377,92058,2013-08-08,599781,11785
95, 설국열차,20126674,봉준호,10031641,한국,2013-08-01,936,601029,2013-08-08,4853557,1045768
96, 슈퍼스타,20130065,자비에 지아놀리,10059220,프랑스,2013-08-01,3,16,2013-08-08,278,2782
97, 이고르와 학의 여행,20130801,예프게니 루만,20176600,이스라엘,2013-08-01,2,72,2013-08-08,711,305384
98, 컴플라이언스,20130702,크레이그 조벨,20176442,미국,2013-08-01,6,56,2013-08-08,739,305384
99, 플레이스 비욘드 더 파인즈,20130421,데릭 시엔프랜스,20128509,미국,2013-08-01,30,756,2013-08-08,9874,104
100, 권법 쿵푸의 신,20131222,정사걸|곽자건,10061787|10002000,홍콩,2013-08-02,1,276,2013-08-09,1652,80668
101, 아이다,20135270,소냐 프리셀,20174000,미국,2013-08-03,2,83,2013-08-10,420,74704
102, 은밀하게 위대하게 (확장판),20131304,장철수,10060556,한국,2013-08-05,1,166,2013-08-12,2846,7743
103, 명탐정 코난 : 수평선상의 음모,20058720,야마모토 야스이치로,20115431,일본,2013-08-07,282,20161,2013-08-14,262813,399416
104, 에픽 : 숲속의 전설 ,20138202,크리스 ㅤㅇㅞㅅ지,10077179,미국,2013-08-07,415,53747,2013-08-14,530395,13594
105, 나에게서 온 편지,20139825,카린느 타르디유,10073655,프랑스,2013-08-08,17,411,2013-08-15,4975,0
106, 러브 인 코리아,20119827,박제욱,20112331,한국,2013-08-08,3,6,2013-08-15,142,3807
107, 베이트,20130250,킴블 렌달,10078924,호주,2013-08-08,54,1864,2013-08-15,15934,251314
108, 죽지않아,20127587,황철민,10090354,한국,2013-08-08,9,150,2013-08-15,727,777
109, 페이퍼보이: 사형수의 편지,20120464,리 다니엘스,10019262,미국,2013-08-08,11,319,2013-08-15,2499,2457
110, 페인리스,20130443,후앙 카를로스 메디나,10090552,스페인,2013-08-08,25,733,2013-08-15,6416,0
111," 가자, 장미여관으로",20130662,신정균,10040579,한국,2013-08-14,2,180,2013-08-21,7747,0
112, 감기,20124937,김성수,10004596,한국,2013-08-14,671,304661,2013-08-21,2183334,40321
113, 더 팩트,20131083,니콜라스 맥카시,20178062,미국,2013-08-14,4,260,2013-08-21,850,40321
114, 세상의 끝까지 21일,20134061,로렌 스카파리아,10016199,미국,2013-08-14,6,303,2013-08-21,9881,510604
115, 숨바꼭질,20136049,허정,20169260,한국,2013-08-14,623,293917,2013-08-21,2820916,713758
116, 슈퍼윙스 3D,20130569,올가 로패토,20176142,러시아,2013-08-14,128,4023,2013-08-21,37970,330
117, 언어의 정원,20139083,신카이 마코토,10040653,일본,2013-08-14,54,3792,2013-08-21,33668,0
118," 패션, 위험한 열정",20130541,브라이언 드 팔마,10031773,독일,2013-08-14,18,377,2013-08-21,6888,89906
119, 퍼시픽 모비딕,20131244,트레이 스톡스,20178022,미국,2013-08-14,4,250,2013-08-21,3230,16116
120, 허풍,20130243,공자관,10001904,한국,2013-08-14,3,106,2013-08-21,296,27490
121, 그리고 싶은 것,20122121,권효,20114981,한국,2013-08-15,23,547,2013-08-22,2805,84505
122, 렛 미 아웃,20125232,소재영|김창래,10036678|10005983,한국,2013-08-15,10,135,2013-08-22,573,597956
123, 월하의 침략자,20123624,마에다 켄지,10022524,일본,2013-08-15,1,21,2013-08-22,49,41464
124, 전쟁과 한 여자,20134063,이노우에 준이치,10055036,일본,2013-08-15,2,70,2013-08-22,509,791
125, 가시꽃,20120104,이돈구,10055132,한국,2013-08-22,10,103,2013-08-29,1107,222
126, 나우 유 씨 미 : 마술사기단,20138881,루이스 리테리어,10018639,미국,2013-08-22,484,146606,2013-08-29,1529492,234533
127, 드리프트,20130448,벤 노트|모건 오닐,10031100|20171580,호주,2013-08-22,3,118,2013-08-29,1574,0
128, 라 당스,20130784,프레데릭 와이즈만,10085041,프랑스,2013-08-22,5,250,2013-08-29,2956,0
129, 밀크 오브 소로우-슬픈 모유,20131721,클로디아 로사,20178046,스페인,2013-08-22,1,45,2013-08-29,349,2692591
130, 방독피,20100793,김곡|김선,10003598|10004500,한국,2013-08-22,1,4,2013-08-29,494,4293
131, 브레이크 블레이드6: 결전의 시간,20131822,하바라 노부유시,10086861,일본,2013-08-22,1,10,2013-08-29,50,0
132, 비바 프랑스,20131204,미카엘 윤,20172681,프랑스,2013-08-22,6,578,2013-08-29,1772,0
