,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
573, 꼬마영웅 경찰차 프로디2,20147848,라스무스 A. 실버르센,20170403,52154,노르웨이,2014-03-20,2014-03-20,108,505,2014-04-02,24362,이선|엄상현
586, 메이지가 알고 있었던 일,20130701,스콧 맥게히|데이빗 시겔,10038245|10011947,1140,미국,2014-03-27,2014-03-27,22,549,2014-04-09,2082,줄리안 무어|스티브 쿠건|알렉산더 스카스가드|오나타 에이프릴
594, 아이스맨,20147690,아리엘 브로멘,10041797,46216,미국,2014-03-27,2014-03-27,20,1379,2014-04-09,10910,크리스 에반스|대니 A. 아벡캐저|마이클 섀넌|위노나 라이더
585, 랑랑 라이브 인 런던,20148067,크리스찬 커트 바이스,20188214,0,독일,2014-03-27,2014-03-27,5,114,2014-04-09,1050,랑랑
584, 캡틴 아메리카: 윈터 솔져,20147790,조 루소|안소니 루소,10065016|10043421,4431286,미국,2014-03-26,2014-03-26,938,166787,2014-04-08,2738538,크리스 에반스|스칼렛 요한슨|사무엘 L. 잭슨|로버트 레드포드
554, 레드마리아,20100551,경순,10054749,657,한국,2012-04-26,2012-04-26,11,64,2012-05-09,1722,그레이스|리타|제나린|종희|클롯|이치무라
566, 우리가 들려줄 이야기 ,20133791,사라 폴리,10033979,41323,캐나다,2014-03-13,2014-03-13,2,52,2014-03-26,1601,사라 폴리
591," 씨, 베토벤",20147987,박진순|민복기,10029350|10027806,180767,한국,2014-03-27,2014-03-27,4,17,2014-04-09,632,김소진|공상아|오유진|김중기|이상우
639, 쇼트피스,20148603,오토모 가츠히로,10050952,4991,일본,2014-04-17,2014-04-17,5,177,2014-04-30,1975,이지영|온영삼|성선녀
618, 어벤져스,20124721,조스 웨던,10066368,1242,미국,2012-04-26,2012-04-26,846,214105,2012-05-09,4360844,로버트 다우니 주니어|스칼렛 요한슨|크리스 헴스워스|크리스 에반스|제레미 레너
622, 파리의 도둑고양이,20125066,장-루프 펠리시올리|알랭 가뇰,20114602|20127389,0,프랑스,2012-04-26,2012-04-26,4,31,2012-05-09,1046,도미니크 블랑
624, 로렉스,20113889,크리스 리노드|카일 발다,20112359|20127335,2969758,미국,2012-05-03,2012-05-03,255,5348,2012-05-16,266491,대니 드비토|잭 에프런|에드 헬름스|베티 화이트|롭 리글
609, 가시,20134585,김태균,10006085,352163,한국,2014-04-10,2014-04-10,339,20553,2014-04-23,137414,장혁|조보아|선우선|이도아|박정희|박진영|박현준|장재원|유지연|윤승현|이상미|이동준|이영진|이종은|김미경|김예은|최원석
662, 피의 만우절,20148630,로라 가르시아|마크 마르티네즈|카를로스 알론소,10044396|10073741|10065555,0,스페인,2014-04-24,2014-04-24,5,150,2014-05-07,720,마리오 마르쪼|샤롯 베가|알렉스 바틀로리
629, 은밀하게 음란하게,20148492,이세일,10056085,445,한국,2014-04-10,2014-04-10,5,182,2014-04-23,372,백세리|이경민
602, 리얼리티: 꿈의 미로,20147722,마테오 가로네,10024554,30249,이탈리아,2014-04-03,2014-04-03,5,45,2014-04-16,688,아니엘로 아레나|로레다나 시미올리|클라우디아 제리니
634, 시선,20139463,이장호,10057180,126184,한국,2014-04-16,2014-04-16,87,563,2014-04-29,12094,오광록|박용식|김민경|홍성춘|이영숙|남동하|이희범|정민구|조영미|조치언|이병기|이상민|하민호|이수경|이승희|민병국
654, 룸메이트,20148498,후루사와 다케시,10090456,317439,일본,2014-04-24,2014-04-24,15,230,2014-05-07,457,후카다 교코|키타가와 케이코|코라 켄고
604, 세이빙 미스터 뱅크스,20147509,존 리 행콕,10067767,134949,미국,2014-04-03,2014-04-03,54,993,2014-04-16,12380,톰 행크스|엠마 톰슨|콜린 파렐
616, 아르마딜로,20112482,야누스 메츠 패더슨,20128310,0,덴마크,2012-04-26,2012-04-26,15,218,2012-05-09,4511,매드 미니|다니엘 웰비|라스무스 문케|김 비르커뢰드
650, 파가니니: 악마의 바이올리니스트,20136805,버나드 로즈,10030459,52640,독일,2014-04-23,2014-04-23,71,2547,2014-05-06,29336,데이비드 가렛|자레드 해리스|조엘리 리처드슨
635, 페이스 오브 러브,20147948,아리 포신,10041758,0,미국,2014-04-16,2014-04-16,210,4974,2014-04-29,76968,아네트 베닝|에드 해리스|로빈 윌리엄스
641, 신부의 아이들,20148463,빈코 브레잔,10033423,0,크로아티아,2014-04-17,2014-04-17,4,20,2014-04-30,350,크리시미어 믹키|닉사 부티에|마리아 스카리식
621, 파리의 도둑고양이,20125066,장-루프 펠리시올리|알랭 가뇰,20114602|20127389,0,프랑스,2012-04-26,2012-04-26,4,31,2012-05-09,1046,도미니크 블랑
614, 보호자,20130483,유원상,20152031,0,한국,2014-04-10,2014-04-10,3,70,2014-04-23,427,고서희|이준혁|배성우|노강민|김수현|이상필
631, 헤라클레스 : 레전드 비긴즈,20147609,레니 할린,10014887,197022,미국,2014-04-10,2014-04-10,376,26897,2014-04-23,218635,스콧 앳킨스|켈란 루츠
611, 런치박스,20147805,리테쉬 바트라,10028073,36523,인도,2014-04-10,2014-04-10,36,783,2014-04-23,11649,이르판 칸|님랏 카우르
637, 그랜드 피아노,20148208,유지니오 미라,10053960,0,스페인,2014-04-17,2014-04-17,94,5073,2014-04-30,20868,일라이저 우드|존 쿠삭
606, 어거스트: 가족의 초상,20147678,존 웰스,10068230,187122,미국,2014-04-03,2014-04-03,243,6959,2014-04-16,69619,메릴 스트립|줄리아 로버츠|베네딕트 컴버배치|이완 맥그리거|크리스 쿠퍼|줄리엣 루이스|더못 멀로니|아비게일 브레스린
681, 라스트베가스,20147683,존 터틀타웁,10068421,586628,미국,2014-05-08,2014-05-08,321,13495,2014-05-21,173225,마이클 더글라스|제리 페라라|로버트 드니로|모건 프리먼|케빈 클라인
603, 백프로,20124047,김명균,10004056,0,한국,2014-04-03,2014-04-03,224,5451,2014-04-16,37866,윤시윤|여진구|천호진|박상면|이원종|이경영|이병준|김보미|강경덕|박효준|정유신|정진욱|조세영|조영진|윤영민|이민영|김영호|김예나|김지연|김진아|윤영민|지대한
653, 넥스트 제네레이션 패트레이버,20148551,오시이 마모루,10050553,15005,일본,2014-04-24,2014-04-24,20,1432,2014-05-07,3488,마노 에리나|카케이 토시오|후쿠시 세이지|오타 리나
644, 이쁜 것들이 되어라,20130481,한승훈,20143761,0,한국,2014-04-17,2014-04-17,2,84,2014-04-30,486,정겨운|윤승아|정인기|임현성|가심현|신수연|오혜원|우문기|윤찬영|이동환|이병삼|이보경|이선주|이승준|이지안|장철민|정유영|채수아|한재웅|형슬우|홍상원|김경수|김영웅|박소담
636, 필로미나의 기적,20147679,스티븐 프리어스,10039589,43052,영국,2014-04-16,2014-04-16,152,2414,2014-04-29,34412,주디 덴치|스티브 쿠건
601, 레커스,20147787,D.R. 후드,10090431,0,영국,2014-04-03,2014-04-03,12,227,2014-04-16,2050,베네딕트 컴버배치|클레어 포이|숀 에반스
605, 쓰리데이즈 투 킬,20147612,맥지,10025471,1883900,미국,2014-04-03,2014-04-03,322,22745,2014-04-16,227286,케빈 코스트너|엠버 허드|헤일리 스테인펠드|코니 닐슨|에리크 에부아니|토마스 레마르쿼즈
660, 천재 강아지 미스터 피바디,20133601,롭 민코프,10018181,466084,미국,2014-04-24,2014-04-24,342,3695,2014-05-07,316699,티 버렐|맥스 찰스|아리엘 윈터|레슬리 만|스탠리 투치|스티븐 토보로스키|앨리슨 제니
659, 온리 갓 포기브스,20138542,니콜라스 윈딩 레픈,10008711,6921,미국,2014-04-24,2014-04-24,61,457,2014-05-07,4077,라이언 고슬링|크리스틴 스콧 토마스|비데야 판스링감
626, 수호지-강철 보갑,20148380,황조권,20169162,382,중국,2014-04-10,2014-04-10,5,175,2014-04-23,295,하중화
612, 마이 보이,20133922,전규환,10061231,967,한국,2014-04-10,2014-04-10,34,478,2014-04-23,3118,차인표|이태란|조왕별|이석철|이혜숙|이호재|배수진|장지희|양은영|전준희|정연지|최준영|이상준|이새별|이승현|황진아|김우진|박신영
615, 선 오브 갓,20147968,크리스토퍼 스펜서,10090811,0,미국,2014-04-10,2014-04-10,350,19897,2014-04-23,279251,디오고 모르가도|세바스찬 냅|다윈 쇼
682, 피부색깔=꿀색,20135142,융 헤닌|로랑 브왈로,20168102|20168101,0,벨기에,2014-05-08,2014-05-08,39,396,2014-05-21,3993,융 헤닌
643," 의궤, 8일간의 축제 3D",20148494,최필곤,20188646,0,한국,2014-04-17,2014-04-17,14,358,2014-04-30,6870,여진구|방중현|강나현|박호진|박호진|유승호|조현주|김인
684, 히트맨 NO.2 : 살인면허,20148615,페리 반달,20188727,0,영국,2014-05-08,2014-05-08,21,1048,2014-05-21,3007,루크 고스
623, 딱따구리와 비,20125912,오키타 슈이치,10050897,1895,일본,2012-05-03,2012-05-03,8,107,2012-05-16,1144,야쿠쇼 코지|오구리 슌|코라 켄고
647, 라보엠,20148390,리카르도 샤이,20188836,0,독일,2014-04-19,2014-04-19,3,80,2014-05-02,357,천우희|우혜진|정인선|김소영|강대현|백지원|임동석|장순호|전준영|정한빈|이상헌|이슬|이연주|이은주|이재민|김다현|김용국|지수|김태윤|김현준|민경진|동현배|이영란|유승목
640, 수호지-강호의 장청,20148555,류신의,20167522,994,중국,2014-04-17,2014-04-17,5,182,2014-04-30,342,상위림
664, 10분,20132800,이용승|박기용,20112022|10028506,11867,한국,2014-04-24,2014-04-24,21,139,2014-05-07,2441,백종환|김종구|정희태|임연호|송현영|조용철|최석원|이성경|이욱현|이종호|김민영|김보묵|김주영
628, 슈퍼미니,20147694,토마스 자보|헬레네 지라드,10009241|10088930,0,프랑스,2014-04-10,2014-04-10,181,2653,2014-04-23,89024,하중화
619, 짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,20125427,마스이 소이치,20127649,217320,일본,2012-04-26,2012-04-26,160,1997,2012-05-09,233143,야지마 아키코|나라하시 미키|후지와라 케이지
666, 방콕 킥복서,20148711,토드 벨란카,20188858,0,미국,2014-04-30,2014-04-30,5,182,2014-05-13,382,케이시 T. 에반스
661, 피의 만우절,20148630,로라 가르시아|마크 마르티네즈|카를로스 알론소,10044396|10073741|10065555,0,스페인,2014-04-24,2014-04-24,5,150,2014-05-07,720,마리오 마르쪼|샤롯 베가|알렉스 바틀로리
642, 신의 전사,20148234,조엘 노보아,10089117,1,베네수엘라,2014-04-17,2014-04-17,5,83,2014-04-30,552,모하메드 알칼디|반도 빌라밀
625, 로렉스,20113889,크리스 리노드|카일 발다,20112359|20127335,2969758,미국,2012-05-03,2012-05-03,255,5348,2012-05-16,266491,대니 드비토|잭 에프런|에드 헬름스|베티 화이트|롭 리글
632, 니드 포 스피드,20148232,스캇 워프,20126696,139541,미국,2014-04-16,2014-04-16,325,9263,2014-04-29,105083,아론 폴|도미닉 쿠퍼|이모겐 푸츠
656, 미션 13,20148552,다니엘 스탬,20112354,104936,미국,2014-04-24,2014-04-24,5,50,2014-05-07,310,마크 웨버|론 펄먼|루티나 웨슬리
645, 카토 프로젝트,20148007,김정욱,20125808,504,한국,2014-04-17,2014-04-17,3,4,2014-04-30,145,강민지|박정원|이승희|이윤희|이은지|이준영|김효정|박수정
627, 슈퍼미니,20147694,토마스 자보|헬레네 지라드,10009241|10088930,0,프랑스,2014-04-10,2014-04-10,181,2653,2014-04-23,89024,하중화
667, 역린,20139183,이재규,20111735,229610,한국,2014-04-30,2014-04-30,947,287855,2014-05-13,3346855,현빈|정재영|조정석|한지민|조재현|박성웅|김성령|정은채|강민지|박지혜|석현|정성민|조정민|최용식|이상현|한대룡|이수봉|홍남희|김고운|이승주|이승주|이승훈|이언정|이용출|이용출|이정수|김기수|김나현|김도연|김두루|김현진|송영창|김대명|천보근
717, 몬스터즈,20148878,가렛 에드워즈,10021168,864517,영국,2014-05-29,2014-05-29,20,600,2014-06-11,1080,휘트니 에이블|스쿳 맥네이리
698, 신촌좀비만화,20148534,류승완|한지승|김태용,10019069|10087753|10006116,3256697,한국,2014-05-15,2014-05-15,46,368,2014-05-28,5187,이다윗|박정민|박기웅|남규리|김수안|배제기|안길강|박미현
711, 탐엣더팜,20147689,자비에 돌란,20115444,23731,캐나다,2014-05-22,2014-05-22,26,437,2014-06-04,5170,자비에 돌란|피에르-이브 카르디날|리즈 로이
633, 다이버전트,20147283,닐 버거,10009032,359356,미국,2014-04-16,2014-04-16,463,30913,2014-04-29,418142,쉐일린 우들리|케이트 윈슬렛|테오 제임스|매기 큐
651, 귀신을 보는 눈: 동안,20148612,대니 팽|옥사이드 팽 천,10010231|10051034,151480,홍콩,2014-04-24,2014-04-24,5,182,2014-05-07,352,양승림
658, 아버지의 이메일,20122124,홍재희,10089793,0,한국,2014-04-24,2014-04-24,17,136,2014-05-07,3454,이주승|공예지|손승현|조동선|조수진|이강정|구자준|이유빈|김민철|김아리|김윤희|김태용|김혜영|김혜영|김혜영|유하복
699, 진저 앤 로사,20136294,샐리 포터,10034927,32370,영국,2014-05-15,2014-05-15,16,200,2014-05-28,3069,엘르 패닝|앨리스 앤글레르트
715, 나의 라임 오렌지 나무,20138607,마르코스 번스테인,10021576,0,브라질,2014-05-29,2014-05-29,46,510,2014-06-11,6242,후아오 기에메 아빌라|호세 드 아브루
690, 오즈의 마법사,19398001,빅터 플레밍,10033202,309909,미국,2012-05-03,2012-05-03,5,25,2012-05-16,3457,주디 갈란드
716, 말레피센트,20148383,로버트 스트롬버그,10016790,0,미국,2014-05-29,2014-05-29,433,56603,2014-06-11,1143315,안젤리나 졸리|엘르 패닝
620, 트로피컬 마닐라,20081510,이상우,20111446,616,한국,2012-04-26,2012-04-26,1,8,2012-05-09,59,드 베라 제랄드|김수남|이상우
608, 짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,20147971,하시모토 마사카즈,20175880,267362,일본,2014-04-03,2014-04-03,167,2082,2014-04-16,75999,박영남|오세홍
671, 리오 2,20138962,카를로스 살다나,10073548,721947,미국,2014-05-01,2014-05-01,429,45775,2014-05-14,660061,제시 아이젠버그|앤 해서웨이|레슬리 만|제이미 폭스|임시완|류승룡|써니
696, 신촌좀비만화,20148534,류승완|한지승|김태용,10019069|10087753|10006116,3256697,한국,2014-05-15,2014-05-15,46,368,2014-05-28,5187,이다윗|박정민|박기웅|남규리|김수안|배제기|안길강|박미현
686, 트랜센던스,20130522,월리 피스터,10052557,0,미국,2014-05-14,2014-05-14,361,47918,2014-05-27,666325,조니 뎁|레베카 홀|모건 프리먼|폴 베타니|킬리언 머피
669, 드래곤 기사단,20147900,앵겔 이즈퀴에르도|리카르도 라몬,10049223|10020550,0,스페인,2014-05-01,2014-05-01,86,878,2014-05-14,9397,류승룡|유준상|이진욱|김성령|조여정|조은지|진구|강구현|배정현|서동필|임일규|정순태|홍성민|김동준|김대명|김영재|이현욱|장준녕
704, 그녀,20148748,스파이크 존즈,10039674,49164,미국,2014-05-22,2014-05-22,153,8390,2014-06-04,176985,호아킨 피닉스|스칼렛 요한슨|에이미 아담스|루니 마라
675, 위크엔드 인 파리,20147880,로저 미첼,10017730,153808,영국,2014-05-01,2014-05-01,30,1759,2014-05-14,22134,짐 브로드벤트|린제이 던컨
700, 침입자들 : 로봇의 역습,20148967,패트릭 라이언 심즈,10082584,0,미국,2014-05-15,2014-05-15,20,1378,2014-05-28,3672,데인 보우먼|조던 새비지
691, 잠자는 숲속의 미녀,20112059,카트린느 브레이야,10006599,8077,프랑스,2012-05-03,2012-05-03,4,41,2012-05-16,594,줄리아 아르타모노프|칼라 베사이누
657, 셔틀콕,20136321,이유빈,10056931,0,한국,2014-04-24,2014-04-24,28,299,2014-05-07,3607,이주승|공예지|손승현|조동선|조수진|이강정|구자준|이유빈|김민철|김아리|김윤희|김태용|김혜영|김혜영|김혜영|유하복
613, 방황하는 칼날,20129787,이정호,10057331,982923,한국,2014-04-10,2014-04-10,481,66643,2014-04-23,858011,이진성|정재영|이성민|서준영|박정호|박지영|박진선|서주연|안지현|유지은|정혜정|차수빈|이동기|이수경|이승현|이주승|김기현|김수진|김원진|김태준|김현|김현호|김희석|김홍파|김대명|정석용|오정세
674, 수호지: 명포배선,20148714,류신의,20167522,990,중국,2014-05-01,2014-05-01,2,20,2014-05-14,392,노성우
719, 에너미,20148687,드니 빌뇌브,20113786,260512,캐나다,2014-05-29,2014-05-29,50,651,2014-06-11,7498,제이크 질렌할|멜라니 로랑|사라 가돈|이사벨라 로셀리니
607, 웨이스트 랜드,20110436,루시 워커,20175448,0,브라질,2014-04-03,2014-04-03,11,97,2014-04-16,2339,돌프 룬드그렌|나타샤 맬스
673, 백설공주의 마지막 키스,20148128,파블로 베르헤르,10082063,0,스페인,2014-05-01,2014-05-01,9,161,2014-05-14,2108,마리벨 베르두|안젤라 몰리나
725, SX 테잎,20148756,버나드 로즈,10030459,57570,미국,2014-05-29,2014-05-29,70,1315,2014-06-11,6801,케이틀린 폴리|이안 던컨|크리스 코이|다이애나 가르시아
710, 케이트 맥콜,20148835,카렌 몬크리프,10073336,1608,미국,2014-05-22,2014-05-22,24,2529,2014-06-04,3014,케이트 베킨세일|제임스 크롬웰|닉 놀테
663, 피의 만우절,20148630,로라 가르시아|마크 마르티네즈|카를로스 알론소,10044396|10073741|10065555,0,스페인,2014-04-24,2014-04-24,5,150,2014-05-07,720,마리오 마르쪼|샤롯 베가|알렉스 바틀로리
705, 도희야,20134586,정주리,10062231,0,한국,2014-05-22,2014-05-22,302,13512,2014-06-04,104698,배두나|김새론|송새벽|박진우|이호현|서영제|조유진|윤은지|최효선|김경재|이승원|이정은|김민선|나채형|손종학|공명|남문철
726, 하이힐,20136062,장진,10060535,902281,한국,2014-06-03,2014-06-03,291,13936,2014-06-16,317085,이동길|차승원|오정세|이솜|고경표|박성웅|박장진|가은희|박준영|장진|신성훈|정찬미|이도연|최성환|이상화|홍세라|이언정|홍희정|이윤경|이은영|이은지|이종원|김소연|김인호|김진주|민준호|박상우|송영창|김병옥|이엘|김원해|이해영|안길강|조복래|이용녀|이황의
702, 쾌걸 조로리의 공룡알을 지켜라,20148628,이와사키 토모코,20172887,27598,일본,2014-05-15,2014-05-15,27,216,2014-05-28,4522,김정은|류점희|한신정
724, 퍼지,20134691,안티 조키넨,20113001,206,핀란드,2014-05-29,2014-05-29,2,6,2014-06-11,72,로라 비른|아만다 필케|피터 프란젠|토미 코펠라|크리스타 코소넨
617, 아버지는 개다,20119433,이상우,20111446,611,한국,2012-04-26,2012-04-26,1,11,2012-05-09,109,권범택|이태림|이시호|유애경|한성원|김헌
692, 저스트 프렌즈,20125886,안철호,20111272,4980,한국,2012-05-03,2012-05-03,6,59,2012-05-16,1013,오연서|강은우|이영훈|최재환|박인영|한태윤|정광섭|정승현|홍상욱
723, 차가운 장미,20148681,필립 클로델,20115265,2858,프랑스,2014-05-29,2014-05-29,20,451,2014-06-11,8014,다니엘 오떼유|크리스틴 스콧 토마스
648, 팔스타프,20147257,제임스 레바인,20188837,743,미국,2014-04-19,2014-04-19,2,33,2014-05-02,224,천우희|우혜진|정인선|김소영|강대현|백지원|임동석|장순호|전준영|정한빈|이상헌|이슬|이연주|이은주|이재민|김다현|김용국|지수|김태윤|김현준|민경진|동현배|이영란|유승목
652, 귀신을 보는 눈: 동안,20148612,대니 팽|옥사이드 팽 천,10010231|10051034,151480,홍콩,2014-04-24,2014-04-24,5,182,2014-05-07,352,양승림
732, 더 콩그레스,20147908,아리 폴만,10041760,7674,이스라엘,2014-06-05,2014-06-05,13,82,2014-06-18,1240,로빈 라이트|하비 케이틀|대니 휴스턴|폴 지아마티
693, 코리아,20124045,문현성,20125803,1382809,한국,2012-05-03,2012-05-03,536,68660,2012-05-16,1392869,하지원|배두나|한예리|최윤영|박철민|김응수|오정세|이종석|박영서|박정학|허승|홍혜림|박지연|유영기|천우희|주영호|김재화|김원해|이한위|김인우
721, 인 데어 스킨,20149106,제레미 파워 레김발,10079108,0,캐나다,2014-05-29,2014-05-29,5,210,2014-06-11,860,셀마 블레어|조슈아 클로즈|제임스 다시|레이첼 마이너|퀸 로드
668, 표적,20139164,창,10071587,1058155,한국,2014-04-30,2014-04-30,576,105838,2014-05-13,2168858,류승룡|유준상|이진욱|김성령|조여정|조은지|진구|강구현|배정현|서동필|임일규|정순태|홍성민|김동준|김대명|김영재|이현욱|장준녕
680, 디태치먼트,20134601,토니 케이,10080189,6919,미국,2014-05-08,2014-05-08,41,1310,2014-05-21,10949,애드리언 브로디|마샤 게이 하든|크리스티나 헨드릭스|루시 리우|제임스 칸|브라이언 크랜스톤
695, 슬기로운 해법,20133811,태준식,10079546,1632,한국,2014-05-15,2014-05-15,15,72,2014-05-28,2900,조승호|김민기|김성재
727, 가구야공주 이야기,20148829,다카하타 이사오,10009949,10316,일본,2014-06-04,2014-06-04,74,3063,2014-06-17,16203,이동길|차승원|오정세|이솜|고경표|박성웅|박장진|가은희|박준영|장진|신성훈|정찬미|이도연|최성환|이상화|홍세라|이언정|홍희정|이윤경|이은영|이은지|이종원|김소연|김인호|김진주|민준호|박상우|송영창|김병옥|이엘|김원해|이해영|안길강|조복래|이용녀|이황의
649, 어메이징 스파이더맨 2,20135661,마크 웹,10024339,2496790,미국,2014-04-23,2014-04-23,"1,145",192229,2014-05-06,3534336,앤드류 가필드|엠마 스톤|제이미 폭스|데인 드한
709, 일대일,20148447,김기덕,10003696,85832,한국,2014-05-22,2014-05-22,51,920,2014-06-04,10068,마동석|이인경|이이경|김영민|안지혜|최영미|이은우|이종필|김미진|김민진|김종우|김훈영|박경민|박보영|김소현|임화영|박소담|조동인|손종학|김중기
630, 은밀한 가족,20148213,알렉산드로스 아브라나스,20188308,0,그리스,2014-04-10,2014-04-10,4,81,2014-04-23,711,테미스 파누|엘레니 로시누
712, 루살카,20147251,오토 솅크,20189449,0,미국,2014-05-24,2014-05-24,2,57,2014-06-06,340,자비에 돌란|피에르-이브 카르디날|리즈 로이
610, 가자! 장미여관으로 2 - 갈증,20148535,김봉은,10004364,925,한국,2014-04-10,2014-04-10,20,595,2014-04-23,3484,황정아|강경돈|이현국|최창수|김상수
638, 빨간머리 앤 : 네버엔딩스토리,20148210,다카하타 이사오,10009949,12370,일본,2014-04-17,2014-04-17,67,588,2014-04-30,5767,이지영|온영삼|성선녀
720, 오큘러스,20148686,마이크 플래너건,10022775,171769,미국,2014-05-29,2014-05-29,282,25027,2014-06-11,264631,카렌 길런|브렌튼 스웨이츠|케이티 색호프|로리 코크레인
728, 마이 블랭키,20148347,프란시스 닐슨,10084221,0,스페인,2014-06-04,2014-06-04,101,7464,2014-06-17,29899,이동길|차승원|오정세|이솜|고경표|박성웅|박장진|가은희|박준영|장진|신성훈|정찬미|이도연|최성환|이상화|홍세라|이언정|홍희정|이윤경|이은영|이은지|이종원|김소연|김인호|김진주|민준호|박상우|송영창|김병옥|이엘|김원해|이해영|안길강|조복래|이용녀|이황의
739, 황제를 위하여,20134591,박상준,20113801,123770,한국,2014-06-11,2014-06-11,366,39397,2014-06-24,557820,장한새|이민기|박성웅|이태임|박재영|박진우|송원종|양영택|윤성민|윤성원|최민정|이민섭|이민영|권혁주|권혁진|김경아|김광민|이정훈|김미영|김우진|김진혁|박민철|유재명|한재영
646, 한공주,20134122,이수진,10056161,0,한국,2014-04-17,2014-04-17,203,10149,2014-04-30,166288,천우희|우혜진|정인선|김소영|강대현|백지원|임동석|장순호|전준영|정한빈|이상헌|이슬|이연주|이은주|이재민|김다현|김용국|지수|김태윤|김현준|민경진|동현배|이영란|유승목
754, 원스 어게인,20113822,카를로 미라벨라 데이비스|크리스 답킨스|닉 어거스트 페르나,20125869|20125871|20125870,0,미국,2012-01-12,2012-01-12,28,882,2012-01-25,9655,글렌 하사드|마르케타 이글로바
734, 레디액션! 폭력영화,20135770,최원경|김도경,20160047|20189151,1867849,한국,2014-06-05,2014-06-05,6,7,2014-06-18,371,민호열|오성근|박종환|김인형|김진|김태형
736, 바라: 축복,20148727,키엔체 노르부,10078706,6204,부탄,2014-06-05,2014-06-05,8,217,2014-06-18,1314,샤하나 고스와미
701, 캠퍼스 S 커플,20125343,송창용,10037252,750,한국,2014-05-15,2014-05-15,1,18,2014-05-28,891,최필립|문보령|서효명|박란|백재호|조용운|이미애|이새별|이승주|김도윤|김문경
764, 단델리온 더스트,20125267,존 건,10067516,86038,미국,2012-05-10,2012-05-10,27,191,2012-05-23,2522,미라 소르비노|배리 페퍼|콜 하우저|케이트 리버링|맥스웰 페리 코튼
707, 엑스맨: 데이즈 오브 퓨처 패스트,20147669,브라이언 싱어,10031865,1373528,미국,2014-05-22,2014-05-22,875,213000,2014-06-04,3428735,휴 잭맨|제임스 맥어보이|마이클 패스벤더|제니퍼 로렌스|할리 베리|엘렌 페이지
697, 신촌좀비만화,20148534,류승완|한지승|김태용,10019069|10087753|10006116,3256697,한국,2014-05-15,2014-05-15,46,368,2014-05-28,5187,이다윗|박정민|박기웅|남규리|김수안|배제기|안길강|박미현
672, 몬스터 왕국,20148277,에스벤 토프트 야콥슨,20174581,78667,스웨덴,2014-05-01,2014-05-01,136,2729,2014-05-14,35934,김준호
683, 피부색깔=꿀색,20135142,융 헤닌|로랑 브왈로,20168102|20168101,0,벨기에,2014-05-08,2014-05-08,39,396,2014-05-21,3993,융 헤닌
676, 잡가소수,20148747,홍금보,10089409,110190,홍콩,2014-05-01,2014-05-01,1,10,2014-05-14,328,양가인|원표
679, 007 북경특급 2,19968258,주성치|곡덕소,10069049|10001846,262327,홍콩,2014-05-01,2014-05-01,1,10,2014-05-14,329,주성치
689, 아버지를 위한 노래,20098183,파올로 소렌티노,10082236,64908,이탈리아,2012-05-03,2012-05-03,1,207,2012-05-16,2995,숀 펜|프란시스 맥도먼드|주드 허쉬
762, 사티아그라하,20124363,팰림 맥더모트,20166321,0,미국,2012-05-09,2012-05-09,2,24,2012-05-22,165,김명민|안성기|고아라|최태준|조희봉|이엘|이동훈|권지민|최재웅|최윤성|유하복|조영진|이봉규|임종윤|정준원
665, 10분,20132800,이용승|박기용,20112022|10028506,11867,한국,2014-04-24,2014-04-24,21,139,2014-05-07,2441,백종환|김종구|정희태|임연호|송현영|조용철|최석원|이성경|이욱현|이종호|김민영|김보묵|김주영
687, 고질라,20147874,가렛 에드워즈,10021168,510190,미국,2014-05-15,2014-05-15,580,89080,2014-05-28,706908,애런 존슨|브라이언 크랜스톤|엘리자베스 올슨|줄리엣 비노쉬|와타나베 켄
758, 댄싱퀸,20113743,이석훈,10055965,4519762,한국,2012-01-18,2012-01-18,403,46500,2012-01-31,2300976,황정민|엄정화|정성화|오나라|박정민|박사랑|임호걸|정원영|이정건|안은정|라미란|송원석|이대연|이한위|최우리|천보근|권병길
770, 미녀와 야수,20148795,크리스토프 갱스,10077707,187225,프랑스,2014-06-18,2014-06-18,332,18629,2014-07-01,297681,레아 세이두|뱅상 카셀
768, 버니드롭,20126027,사부,10009223,11199,일본,2012-05-10,2012-05-10,47,517,2012-05-23,7143,마츠야마 켄이치|아시다 마나|카리나
742, 그레이트 뷰티,20147970,파올로 소렌티노,10082236,45380,이탈리아,2014-06-12,2014-06-12,51,1541,2014-06-25,25519,토니 세르빌로
677, 킬엠올,20148750,레이먼드 후버,20170960,0,미국,2014-05-01,2014-05-01,1,10,2014-05-14,329,조니 메스너|유가휘
752, 원스 어게인,20113822,카를로 미라벨라 데이비스|크리스 답킨스|닉 어거스트 페르나,20125869|20125871|20125870,0,미국,2012-01-12,2012-01-12,28,882,2012-01-25,9655,글렌 하사드|마르케타 이글로바
706, 배꼽과 무릎사이,20148853,강세진,20120528,0,한국,2014-05-22,2014-05-22,20,1158,2014-06-04,7166,허동원|정호준|보리|지현
