,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
5, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962,에만 소르 오냐|리마라 메니시스
61, 명왕성,20120110,신수원,10040434,7850,한국,2013-07-11,2013-07-11,78,1107,2013-07-24,15019,이다윗|성준|김꽃비|김권|류경수|선주아|남태부|길해연|황정민|박현영|한솔|한창훈|황성규|조성하
31, 토토의 움직이는 숲,20126253,에스벤 토프트 야콥슨,20174581,37582,덴마크,2013-06-20,2013-06-20,99,1268,2013-07-03,61914,마르쿠스 리가드
12, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,0,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284,폴 지아마티|로자먼드 파이크|더스틴 호프만
49, 론 레인저,20136862,고어 버빈스키,10001678,1614009,미국,2013-07-04,2013-07-04,392,42702,2013-07-17,385673,조니 뎁|아미 해머|헬레나 본햄 카터
24, 부기우기: 상위 1%의 섹스,20098216,던컨 워드,10010661,0,영국,2013-06-20,2013-06-20,1,100,2013-07-03,1514,질리언 앤더슨|아만다 사이프리드
91, 콤플렉스,20139882,나카타 히데오,10007255,87350,일본,2013-07-25,2013-07-25,3,92,2013-08-07,603,마에다 아츠코|나리미야 히로키
106, 에픽 : 숲속의 전설 ,20138202,크리스 웻지,10077179,0,미국,2013-08-07,2013-08-07,415,53747,2013-08-20,836742,아만다 사이프리드|조쉬 허처슨|콜린 파렐|제이슨 서디키스|비욘세 놀즈|조니 녹스빌|크리스토프 왈츠|스티븐 타일러|한승연|정진운
100, 이고르와 학의 여행,20130801,예프게니 루만,20176600,0,이스라엘,2013-08-01,2013-08-01,2,72,2013-08-14,1036,이타이 슈체르베크|토마슈 솝자크
125, 렛 미 아웃,20125232,소재영|김창래,10036678|10005983,1136978,한국,2013-08-15,2013-08-15,10,135,2013-08-28,722,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정
137, 브레이크 블레이드6: 결전의 시간,20131822,하바라 노부유시,10086861,104,일본,2013-08-22,2013-08-22,1,10,2013-09-04,90,호시 소이치로|사이토 치와
124, 그리고 싶은 것,20122121,권효,20114981,833,한국,2013-08-15,2013-08-15,23,547,2013-08-28,3639,권윤덕|심달연|세이조 타시마|케이코 하마다|김여진
69, 미스터 고,20124082,김용화,10005151,6085380,한국,2013-07-17,2013-07-17,840,94955,2013-07-30,1232663,서교|성동일|이훈민|임동욱|임승묵|임왕섭|천재성|최인호|박정훈|배지현|조재윤|변희봉|김성주|김인우|김희원
87, 홈 스위트 홈,20111957,문시현,20112401,302199,한국,2012-03-15,2012-03-15,4,11,2012-03-28,282,김영훈|유애경|이광수|임성권|정해영|정희섭|조영직|허진호|이미란|오진우|김종수
35, 극장판 헌터X헌터 : 팬텀루즈,20139262,사토 유조,20174462,0,일본,2013-06-27,2013-06-27,42,369,2013-07-10,2988,카와시마 우미카|후지키 나오히토
74, 우리는 그곳에 있었다,20126673,박준기,20128869,0,한국,2013-07-18,2013-07-18,5,105,2013-07-31,1298,유학재|정재학|박준기|황영순
20, 가비,20111774,장윤현,10060414,1885540,한국,2012-03-15,2012-03-15,315,23878,2012-03-28,266138,주진모|김소연|박희순|유선|손호승|채현우|홍준표|오동현|조승연|조덕현|조덕제|엄효섭
86, 핑크,20112702,전수일,10061331,2113,한국,2012-03-15,2012-03-15,11,60,2012-03-28,922,이승연|서갑숙|이원종|장병문|정현호|권종현|주경철|김푸름|이지환|박주석|박현우|신상호
135, 방독피,20100793,김곡|김선,10003598|10004500,305384,한국,2013-08-22,2013-08-22,1,4,2013-09-04,582,장리우|박지환|조영진|임수아|잇을|장현남|정병욱|정섬|정지선|정훈|조문식|조아라|지연|진지현|최기수|김경민|김경민|한동수|한휘수|홍경원|홍두현|홍준원|황인태|김은희|박성미|박성미|박지원|오태호
39, 빈센트,20138608,랄프 후에트너,10014388,0,독일,2013-06-27,2013-06-27,6,319,2013-07-10,3611,플로리안 데이비드 핏츠|카롤리네 헤어퍼스
64, 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,0,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118,유동근
133, 라 당스,20130784,프레데릭 와이즈만,10085041,2782,프랑스,2013-08-22,2013-08-22,5,250,2013-09-04,4382,에밀리 코제트|오렐리 뒤퐁
42, 카르페디엠,20134485,레이노앗 오얼레만스,20167420,0,네덜란드,2013-06-27,2013-06-27,1,100,2013-07-10,830,캐리스 밴 허슨|바리 아츠마|안나 드리베르
123, 허풍,20130243,공자관,10001904,452,한국,2013-08-14,2013-08-14,3,106,2013-08-27,551,이덕재|김동수|박진위|지나|혜진
38, 빅 웨딩,20138884,저스틴 잭햄,10061164,0,미국,2013-06-27,2013-06-27,149,5044,2013-07-10,33474,아만다 사이프리드|벤 반스|로버트 드니로|캐서린 헤이글|다이안 키튼|수잔 서랜든|로빈 윌리엄스|토퍼 그레이스
4, 원더풀 라디오,20113671,권칠인,10002537,610392,한국,2012-01-05,2012-01-05,421,60371,2012-01-18,882472,이민정|이정진|이광수|서영|황보현|이범규|박지연|서미래|김병옥|조우진|김해숙|김창완|지대한
28, 월드 워 Z,20122122,마크 포스터,10024440,365632,미국,2013-06-20,2013-06-20,802,239692,2013-07-03,3553992,브래드 피트|미레유 에노스|매튜 폭스
19, 서약,20124874,마이클 수치,10023193,0,미국,2012-03-14,2012-03-14,284,37219,2012-03-27,232646,레이첼 맥아담스|채닝 테이텀
50, 매니악 : 슬픈 살인의 기록,20137964,프랭크 칼폰,10084753,0,미국,2013-07-04,2013-07-04,32,255,2013-07-17,2780,일라이저 우드|노라 아르네제더
3, 송곳니,20113591,요르고스 란티모스,10065698,57721,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400,크리스토스 스테르기오글루|미셸 발리
30, 이별계약,20137081,오기환,10050086,820307,한국,2013-06-20,2013-06-20,60,1705,2013-07-03,16278,펑위옌|백백하|장경부|오패자|최한기
55, 타이치0 3D,20139081,풍덕륜,10084148,818,홍콩,2013-07-04,2013-07-04,110,1325,2013-07-17,16285,원효초|안젤라 베이비|펑위옌|양가휘|오언조
18, 화차,20124050,변영주,10031365,54291,한국,2012-03-08,2012-03-08,456,74855,2012-03-21,1761276,이선균|김민희|조성하|송하윤|차수연|임남숙|임순옥|장대윤|황남희|박지은|박지혜|송성원|오기민|최덕문|이희준|진선규|최일화
108, 러브 인 코리아,20119827,박제욱,20112331,3932,한국,2013-08-08,2013-08-08,3,6,2013-08-21,190,마붑 알엄 펄럽|리아즈
27, 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,11575,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873,마티유 아말릭|마리아 드 메데이로스|이사벨라 로셀리니
112, 페이퍼보이: 사형수의 편지,20120464,리 다니엘스,10019262,64006,미국,2013-08-08,2013-08-08,11,319,2013-08-21,3033,니콜 키드먼|잭 에프런|존 쿠삭|매튜 매커너히
11, 밍크코트,20112781,신아가|이상철,10040487|10055906,264889,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872,황정민|김미향|정희성|이상철|이재희|노형석|노형석|박상욱|박지만|신아가|신준호
66, 코리올라누스: 세기의 라이벌,20139822,랄프 파인즈,10014377,0,영국,2013-07-11,2013-07-11,3,319,2013-07-24,2245,제라드 버틀러|랄프 파인즈|바네사 레드그레이브
