,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
613,"실종, 완벽한 사육",일본,예지림엔터테인먼트,9,0,전체관람가,애니메이션,2012-04-17,1,75,2012-04-30,0
616,시절인연,중국,(주)케빈앤컴퍼니,7763,357911,전체관람가,공연,2014-01-01,1,35,2014-01-14,6686
617,그녀가 부른다,한국,판씨네마(주),1042166,1845971,12세이상관람가,드라마,2013-12-26,32,1247,2014-01-08,2684
618,마지막 떡국열차,일본,(주)드림웨스트픽쳐스,0,0,12세이상관람가,멜로/로맨스,2014-01-08,1,10,2014-01-21,0
619,그래버스,영국,(주)미디어데이,189,0,15세이상관람가,멜로/로맨스|드라마,2013-12-19,1,10,2014-01-01,0
620,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",일본,(유)조이앤컨텐츠그룹,227224,333323,청소년관람불가,멜로/로맨스|드라마,2014-01-09,331,45532,2014-01-22,318985
621,수호지-신비술사,중국,(주)나우콘텐츠,989,0,15세이상관람가,SF|공포(호러)|코미디,2013-12-18,5,170,2013-12-31,0
622,와일드 빌,영국,씨제이이앤엠(주),126508,1335865,전체관람가,애니메이션|어드벤처,2013-12-19,8,989,2014-01-01,1561
623,저스틴,스페인,(주)케이알씨지,0,1212925,15세이상관람가,액션,2013-12-31,308,34142,2014-01-13,259487
624,로렌스 애니웨이,캐나다,어뮤즈,21362,23092,청소년관람불가,드라마,2013-12-19,24,596,2014-01-01,9819
625,완전범죄 프로젝트,미국,(주)넥스트엔터테인먼트월드(NEW),0,0,전체관람가,애니메이션|어드벤처,2013-12-19,4,160,2014-01-01,0
626,미녀전쟁,한국,(주)엣나인필름,11176,0,15세이상관람가,멜로/로맨스|드라마,2013-12-19,4,221,2014-01-01,0
627,캐치미,한국,스크린조이,0,6100114,청소년관람불가,액션|범죄,2013-12-18,393,29488,2013-12-31,480434
628,러브액츄얼리: 크리스마스 에디션,미국,골든타이드픽처스(주),2639625,2693239,청소년관람불가,코미디,2013-12-18,48,1005,2013-12-31,28872
