,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
326,그레이브 인카운터,20127630,캐나다,(주)팝엔터테인먼트,15세이상관람가,공포(호러)|스릴러|미스터리,더 비셔우스 브라더스,숀 로저슨|주안 리딩거|맥켄지 그레이,
327,매직 마이크,20127706,미국,(주)나이너스엔터테인먼트,청소년관람불가,코미디,스티븐 소더버그,채닝 테이텀|알렉스 페티퍼|매튜 매커너히|맷 보머|올리비아 문|머시먼로,
328,새미의 어드벤쳐 2,20126406,벨기에,씨제이이앤엠(주),전체관람가|전체관람가,애니메이션|어드벤처,벤 스타센,아이유|이기광|김원효,엘라|리키|빅D
329,피라냐 3DD,20127407,미국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,공포(호러)|스릴러|코미디,존 걸레거,다니엘 파나베이커|빙 라메스|데이빗 핫셀호프|크리스토퍼 로이드,
330,락 오브 에이지,20127086,미국,워너브러더스 코리아(주),15세이상관람가,뮤지컬|드라마,아담 쉥크만,톰 크루즈|캐서린 제타-존스|알렉 볼드윈|폴 지아마티|말린 애커맨|줄리안 허프|디에고 보네타|러셀 브랜드,
331,말리,20126621,미국|영국,CGV아트하우스,12세이상관람가,드라마|다큐멘터리,케빈 맥도널드,톰 크루즈|캐서린 제타-존스|알렉 볼드윈|폴 지아마티|말린 애커맨|줄리안 허프|디에고 보네타|러셀 브랜드,
332,메튜 본의 백조의 호수 3D,20128466,영국,(주)인스터피씨엠,전체관람가,공연,매튜 본,리처드 윈저|니나 골드만|도미닉 노스,
333,스팟걸-교수와 여제자,20128668,한국,(유)조이앤컨텐츠그룹,청소년관람불가,드라마,신혜성,김한규,
334,애니멀 킹덤,20128407,호주,주식회사 루믹스미디어,청소년관람불가,스릴러|범죄,데이빗 미코드,가이 피어스|벤 멘델슨|제임스 프레체빌|재키 위버,
335,통통한 혁명,20124741,한국,(주)씨타마운틴픽쳐스,12세이상관람가,멜로/로맨스|코미디,민두식,이소정|이현진|이무생|탁트인|이재진|이정진|박지환|고은총,도아라|강도경|민호|윤학|옆집아이2|옆집아이1|웨이터|편의점직원
336,AV 아이돌,20128246,한국|일본,골든타이드픽처스(주),청소년관람불가,코미디,조조 히데오,여민정|타츠미 유이,
337,러브호텔에서 생긴 일,20128526,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),카와무라 키요토,한다 사사,
338,나는 왕이로소이다,20124080,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,사극|코미디,장규성,주지훈|백윤식|변희봉|박영규|임원희|이하늬|백도빈|김수로|김소현|전지혜|정지현|조대희|최대원|김상용|한여울|이림|김형주|박준서|박혜민|신승훈|유지혜|이미도,충녕/덕칠|황희|신익|태종|해구|수연|황구|기생|양녕 수하|양녕패거리|내의원|포졸|조공처녀|원경왕후|군사|의금부도사|조공처녀|장구남|양녕패거리
339,바람과 함께 사라지다,20124067,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디|사극,김주호,차태현|오지호|민효린|성동일|신정근|고창석|송종호|이채영|김길동|천보근|김향기|최대호|정종열|임창훈|임혜인|최광덕|최태환|이아람|이예은|이주현|문영동|김강일|오나라,이덕무|백동수|백수련|장수균|석대현|홍석창|김재준|유설화|김철주|정군|난이|순라군 2|형조판서 역|걸인|몽롱녀12|우의정|그림자|몽롱녀5|동네아이7|동네아이4|제사장|장빙업자1|혜정
340,빌리와 용감한 녀석들 3D,20127887,독일,(주)에스비에스콘텐츠허브,전체관람가,애니메이션|가족,라인하드 클루스|호거 태프,차태현|오지호|민효린|성동일|신정근|고창석|송종호|이채영|김길동|천보근|김향기|최대호|정종열|임창훈|임혜인|최광덕|최태환|이아람|이예은|이주현|문영동|김강일|오나라,이덕무|백동수|백수련|장수균|석대현|홍석창|김재준|유설화|김철주|정군|난이|순라군 2|형조판서 역|걸인|몽롱녀12|우의정|그림자|몽롱녀5|동네아이7|동네아이4|제사장|장빙업자1|혜정
341,황제펭귄 펭이와 솜이,20124933,한국,(주)씨타마운틴픽쳐스,전체관람가|전체관람가,다큐멘터리,김진만|김재영,송중기,내레이션
342,광대를 위한 슬픈 발라드,20128311,스페인|프랑스,오드,청소년관람불가,공포(호러)|코미디|스릴러|드라마|전쟁,알렉스 드 라 이글레시아,카를로스 아레세스|안토니오 드 라 토레|캐롤라이나 뱅,
343,금병매 감독판,20128986,홍콩,(주)케이알씨지,청소년관람불가,멜로/로맨스,전문기,임위건,
344,나오미의 아찔한 정사,20128831,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스|드라마|성인물(에로),쿄우야 타다시,카스미 카오,
345,러브,20128308,대만|중국,(주)에스와이코마드,15세이상관람가,드라마|멜로/로맨스|코미디,유승택,조미|서기|조우정|펑위옌|원경천|유승택,
346,스테이크 랜드,20128826,미국,(주)소나무픽쳐스,청소년관람불가,공포(호러)|액션,짐 믹클,코너 파올로|닉 다미치|다니엘 해리스|켈리 맥길리스,마틴|미스터|벨|시스터
347,시스터,20127726,프랑스|스위스,그린나래미디어(주),12세이상관람가,드라마,우슬라 마이어,레아 세이두|캐시 모텟 클레인|질리언 앤더슨|마틴 콤스턴,
348,아메리칸 파이: 19금 동창회,20128530,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디|멜로/로맨스,존 허위츠|헤이든 쉬로스버그,제이슨 빅스|크리스 클라인|숀 윌리엄 스콧|에디 케이 토마스|토마스 이안 니콜라스,
349,이프 유 다이,20128671,프랑스,(주)팝엔터테인먼트,15세이상관람가,드라마|코미디,이네 살림,조나단 자카이|골시프테 파라하니,
350,프로젝트 님,20112501,영국,(주)영화사 조제,12세이상관람가,다큐멘터리,제임스 마쉬,번 코엔|레이건 레너드,
351,여인의 숨결,20128310,한국,(주)케이알씨지,청소년관람불가,드라마,이세일,강지원|김보미,
352,신혼부부 러브 다이어리,20128571,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,요코야마 미유키,
353,신혼부부 러브 다이어리2,20128570,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요코야마 카즈히로,모리시타 유리,
354,스텝업4 : 레볼루션,20126448,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,스콧 스피어,라이언 구즈만|캐서린 맥코믹|메간 본|애덤 G. 세바니,
355,토탈 리콜,20125647,미국|캐나다,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,SF|액션,렌 와이즈먼,콜린 파렐|케이트 베킨세일|제시카 비엘,더그 퀘이드|로리
356,R2B: 리턴투베이스,20124049,한국,씨제이이앤엠(주),15세이상관람가,액션|드라마,김동원,정지훈|유준상|신세경|김성수|이하나|이종석|정경호|조성하|오달수|정석원|임태열|정호빈|김성철|이웅규|윤승남|박효준|정한용|최진호|엄효섭,정태훈|이철희|유세영|박대서|오유진|지석현|조태봉|단장|민호|어린태훈|강성열|통제관|연행헌병2|연행헌병1|박이병|국방부장관|연합사령부 통제관|공군작전사령관
357,내 남친은 사이보그2,20128830,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타지리 유지,미사토 마이,
358,대학살의 신,20128549,프랑스|독일|폴란드|스페인,판씨네마(주),15세이상관람가,드라마|코미디,로만 폴란스키,조디 포스터|케이트 윈슬렛|크리스토프 왈츠|존 C. 라일리,
359,아사코의 이룰 수 없는 사랑,20128829,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),타지리 유지,시지미,
360,"그 시절, 우리가 좋아했던 소녀",20128588,대만,(주)드림팩트엔터테인먼트|(주)미로스페이스|씨너스엔터테인먼트(주)|(주)미로비젼|(주)박수엔터테인먼트,15세이상관람가,멜로/로맨스,구파도,가진동|진연희|언승우,커징텅|션자이
361,이웃사람,20125920,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,김윤진|마동석|천호진|김성균|김새론|임하룡|장영남|도지한|차현우|김동현|한재훈|박인규|유재현,송경희|김상영|하태선|현장검증 카메라기자|승용차운전남|이삿짐 남|윗집남
362,나나나 : 여배우 민낯 프로젝트,20113568,한국,서울독립영화제,12세이상관람가,다큐멘터리,서영주|김꽃비|양은용|부지영,김꽃비|서영주|양은용,김꽃비|서영주|양은용
363,레드라이트,20128272,스페인|미국,씨제이이앤엠(주),15세이상관람가,미스터리|스릴러,로드리고 코르테스,로버트 드니로|킬리언 머피|시고니 위버|엘리자베스 올슨,
364,모든 것은 벗는 것으로 시작됐다,20129088,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),나카마치 사쿠,나리타 리사,
365,제이니 존스,20128606,미국,프리비젼엔터테인먼트,15세이상관람가,드라마,데이빗 M. 로젠탈,아비게일 브레스린|알렉산드로 니볼라|엘리자베스 슈,
366,카지노를 털어라,20129090,스페인,(주)미디어로그,청소년관람불가,드라마|어드벤처|범죄,에두아르드 코르테스,다니엘 브륄|루이스 오마르|미구엘 앙겔 실베스트르|빈센트 로메로,이반|곤살로
367,히스테리아,20128474,영국|프랑스|독일|룩셈부르크,예지림엔터테인먼트,청소년관람불가,코미디|멜로/로맨스,타니아 웩슬러,매기 질렌할|휴 댄시|조나단 프라이스|펠리시티 존스,
368,5쿼터,20126386,미국,(주)토러스엔터테인먼트,전체관람가,드라마,릭 바이버,라이언 메리먼|앤디 맥도웰|에이단 퀸,
369,90분,20127627,한국,(주)키노아이디엠씨,청소년관람불가,스릴러,박선욱,주상욱|장미인애|이선우|박성만|유효섭|반민정,혜리|경석|주차관리인|택배직원1|윤기자
370,공모자들,20124063,한국,씨너스엔터테인먼트(주)|타임스토리그룹(주),청소년관람불가,범죄|스릴러,김홍선,임창정|최다니엘|오달수|조윤희|조달환|정지윤|최일화|박일목|임향주|권태호|최은용|최지향|박승명|오상진|라미란|김재화|손종학,영규|상호|경재|유리|준식|채희|철수|원무과장|주차장녀|병원 경비4|중국 깡패4|병원 간호사1|영규 인솔형사2|경찰서취재기자|우정출연-따이공1|춘자|그룹 회장
371,락 앤 러브,20126622,영국,판씨네마(주),15세이상관람가,코미디,데이빗 맥킨지,루크 트레더웨이|나탈리아 테나,
372,링컨: 뱀파이어 헌터,20125338,미국,이십세기폭스코리아(주),청소년관람불가|청소년관람불가,액션|스릴러|공포(호러),티무르 베크맘베토브,벤자민 워커|도미닉 쿠퍼|루퍼스 스웰|메리 엘리자베스 윈스티드,
373,메가샤크VS크로코사우러스,20129256,미국,(주)케이알씨지,12세이상관람가,SF|액션,크리스토퍼 레이,게리 스트레치,나이젤
374,미운오리새끼,20124046,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,곽경택,김준구|오달수|정예진|조혜련|한우용|김재호|이지원|남지웅|백상훈|양중경|유형균|신신애(신금애),낙만|아버지|혜림|산부인과의사|정신과 의사|사단장|헌병1|고문기술자1|군의관|인사계|근무헌병|간호사
375,베스트러브 그리고 정사,20129313,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),카타오카 슈지,사야마 아이,
376,벨 아미,20125346,영국|이탈리아,(주)에스비에스콘텐츠허브,청소년관람불가,드라마|멜로/로맨스,닉 오머로드|데클란 도넬란,로버트 패틴슨|우마 서먼|크리스티나 리치|크리스틴 스콧 토마스,
377,영건 탐정사무소,20127386,한국,㈜인디스토리,청소년관람불가,SF|액션,오영두,영건|최송현|하은정|배용근|이희종|구춘모|구춘모|장윤정|조한|조현열|김신웅|김신웅|하성광|형슬우|김윤창|김희창|서병철|오세영|조승연,영근|송현|하사장|틱택토|납치범 A2|앤틱샵 손님2|안마사|앤틱샵 손님3|미행남|운전수|자전거남|납치범 B2|브로커 김씨|미소남/앤틱샵 손님1|임은택 박사|닥터창|킬러|납치범 B1|김박사
378,카즈미-바디미션,20129312,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),와타베 세이치,나나우미 나나,
379,코드,20128672,미국|독일,(주)동아수출공사,청소년관람불가,범죄|스릴러|액션,미미 레더,모건 프리먼|안토니오 반데라스,
380,플라토닉섹스,20018577,일본,(주)도키엔터테인먼트,청소년관람불가,드라마|성인물(에로),마츠우라 마사코,카가미 사키|오다기리 죠,
381,피나,20128306,독일|프랑스|영국,㈜영화사 백두대간,전체관람가,다큐멘터리,빔 벤더스,피나 바우쉬,
382,훌리오와 에밀리아,20128688,칠레|아르헨티나|포르투갈|프랑스,찬란,청소년관람불가,드라마,크리스티안 히메네즈,디에고 노구에라|나탈리아 갈가니|트리니다드 곤잘레즈,훌리오|에밀리아|블랑카
383,577 프로젝트,20128271,한국,필라멘트픽쳐스,15세이상관람가,코미디|드라마,이근우,하정우|공효진|김성균|이승하|차현우|이지훈,하정우|공효진
384,꽃과 나비,20129231,일본,(주)액티버스엔터테인먼트,청소년관람불가,성인물(에로),카나자와 카츠지,오츠카 사키,
385,여교사의 비밀애,20127567,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),코우야 타다시,타치바나 사토코|나카가와 카렌,
386,여비서의 불륜,20129311,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),교우야 타다시,호노카,
387,위험한 유혹,20129310,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,이사카와 히토시,마에다 코지,
388,에르나니,20124370,미국,(주)인스터피씨엠,전체관람가,기타,피에그 루이기 사마라타니,마르첼로 조르다니,
389,다니엘 바렌보임과 서동시집 오케스트라,20090623,독일,(주)영화사 진진,전체관람가,다큐멘터리,파울 슈마츠니,다니엘 바렌보임|에드워드 세이드,
390,더 레이디,20112932,프랑스|영국,씨제이이앤엠(주),15세이상관람가,드라마,뤽 베송,양자경|데이빗 듈리스,
391,도깅 : 공개섹스,20129473,영국,(주)소나무픽쳐스,청소년관람불가,드라마|코미디,사이몬 엘리스,루크 트레더웨이,댄
392,본 레거시,20126409,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션|스릴러,토니 길로이,제레미 레너|레이첼 와이즈|에드워드 노튼|조안 알렌|알버트 피니,
393,오페라의 유령 2 : 러브 네버 다이,20128531,미국|영국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,뮤지컬,브렛 설리반|사이몬 필립스,벤 루이스|안나 오브린|마리아 메르세데스|사이먼 글리슨|샤론 밀러칩,팬텀|크리스틴
394,웨딩스캔들,20128707,한국,(주)마인스 엔터테인먼트,15세이상관람가,코미디|멜로/로맨스,신동엽,김민준|곽지민|이세랑|이수호|차민정|차승우|김환일|박소라|송민석,기석|정은|숙자|병수|모텔주인|재덕|경찰|월미도 여고생|모텔주인
395,익스펜더블 2,20128143,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션|어드벤처,사이먼 웨스트,실베스터 스탤론|브루스 윌리스|아놀드 슈왈제네거|제이슨 스타뎀|이연걸|장 끌로드 반담|척 노리스|리암 헴스워스|돌프 룬드그렌|테리 크루즈,
396,지상의 별처럼,20124530,인도,(주)엣나인필름,전체관람가,드라마,아미르 칸|아몰 굽트,아미르 칸|다쉴 사페리,
397,청포도 사탕: 17년 전의 약속,20124013,한국,(주)씨타마운틴픽쳐스,15세이상관람가,드라마|미스터리,김희정,박진희|박지윤|김정난|최원영|서유진|최고요|이재식|나경찬|박진하|편보승,선주|정은|어린정은(목소리)|서점남|택시아빠|담임선생님|젊은 의사 
398,피에타,20124934,한국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,드라마,김기덕,조민수|이정진|권세인|강승헌|김순모|허준석|김재원|권율|손종학|유하복,미선|강도|옆가게남|종도이웃|자살남|종도|기타남|장사장|컨테이너 남
399,호타루의 빛,20128976,일본,골든타이드픽처스(주)|(주)영화사 조제,12세이상관람가,멜로/로맨스|코미디,요시노 히로시,아야세 하루카|후지키 나오히토|마츠유키 야스코|테고시 유야|야스다 켄|이타야 유카,
400,휴먼 컨트랙트,20129646,미국,(주)케이알씨지,청소년관람불가,드라마,제이다 핀켓 스미스,제이슨 클락|파즈 베가,줄리안|마이클
401,SP우먼,20129627,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),유호 히토시,요시자와 아키호,
402,"광해, 왕이 된 남자",20124079,한국,씨제이이앤엠(주),15세이상관람가,사극|드라마,추창민,이병헌|류승룡|한효주|장광|김인권|심은경|김명곤|서진원|장재현|정창국|조혜정|김남준|이수용|박윤호|김지수|박민규|박지아|송미정|양준모|원동연|김종구|주영호|이엘|전배수|이란희|최욱,광해/하선|허균|중전|조내관|도부장|사월이|박충수|도총관|광해 등불 내관1|자객2|기미 궁녀1|강원도 현감|칼자국|유생4|자객1|광해 등불 내관2|한상궁|사월이 대역|홍루몽 선비|광해 어의|광해 별감1|안개시|형판|수라간 궁녀3|유생 2
403,늑대아이,20127494,일본,(주)미디어데이,전체관람가,애니메이션|판타지|멜로/로맨스|드라마|어드벤처,호소다 마모루,미야자키 아오이|오사와 타카오,
404,더 트리,20127629,프랑스|호주,골든타이드픽처스(주),12세이상관람가,드라마|멜로/로맨스,줄리 베르투첼리,샤를로뜨 갱스부르|마튼 초카스,던 오닐|조지 에릭
405,도주왕,20129476,프랑스,(주)소나무픽쳐스,청소년관람불가,코미디,알랭 기로디,루도빅 벨시롯|합시아 헤지,아르망 |퀴를리
406,레지던트 이블 5 : 최후의 심판,20127401,미국|독일,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,액션|공포(호러)|SF|스릴러,폴 W.S. 앤더슨,밀라 요보비치|미셸 로드리게즈|리빙빙|시에나 길로리|오데드 페르,엘리스
407,사랑을 말하다,20129713,한국,크리에이티브컴즈(주),15세이상관람가,드라마,전화성,서예희|윤혁진|임효성|한은진|오승민,나영|부장|여직원2|경찰
408,사소리외전,20129628,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),후지와라 켄이치,아스카 키라라,
409,손오공: 돌원숭이의 탄생,20128977,일본,에이원엔터테인먼트,전체관람가,애니메이션,스기노 아키오|후미히로 요시무라,안현서|유카,손오공
410,엘 불리: 요리는 진행 중,20113247,독일,찬란,전체관람가,다큐멘터리,게레온 베첼,페란 아드리아,
411,인시디어스,20127446,미국,(주)쇼박스,15세이상관람가,공포(호러)|판타지|스릴러,제임스 완,패트릭 윌슨|로즈 번|바바라 허쉬|리 워넬,
412,투 올드 힙합 키드,20113567,한국,(주)시네마달,12세이상관람가,다큐멘터리,정대건,정대건|광석,나오는 사람들
413,퍼펙트 바디라인,20129629,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),코우야 타다시,카스미 리사,
414,한경직,20129089,한국,(주)씨타마운틴픽쳐스,전체관람가,다큐멘터리,천정훈,정애리|이동욱,내레이션|나온사람들
415,화이팅 패밀리,20124929,한국,골든타이드픽처스(주),12세이상관람가,가족|드라마,김성호|구상범|김성호|구상범,이명행|최희진|장소연|서영주|배용근|양은용|최희진|서동수,seg. 인 굿 컴퍼니|seg. 해마 가족 - 민혁|seg. 인 굿 컴퍼니 - 지원 |seg. 해마 가족
416,Mr.스타벅,20127508,캐나다,(주)에스와이코마드,15세이상관람가,코미디|드라마,켄 스콧,패트릭 후아르드|줄리 리브리턴|안톤 베르트랑,
417,쾌락지구,20120022,홍콩,(주)미디어캐슬,청소년관람불가,멜로/로맨스,전국위,진백우|승색려,메이비스
418,간첩,20124400,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마|코미디|액션,우민호,김명민|염정아|유해진|변희봉|정겨운|정만식|이승호|오나라|천보근|박진우|장호준|정병두|조민호|최두선|박유영|박현수|서규선|박일목|조영진|김민재|오광록,김 과장|강 대리|최 부장|윤 고문|우 대리|한 팀장|리부상|은혜|지성|야구부 감독|등산복 요원 팀장|국정원 요원2|2층 요원1|안내방송 목소리|공익요원|기자2|지원 요원1|리부상 보좌관|곽 차장|수상남|비아그라 남
419,감각의제국 파이널,20120023,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),아이조메 쿄코,아사미 유마,
420,대재앙,20129676,미국,(유)조이앤컨텐츠그룹,12세이상관람가,어드벤처,미초 루타르,조 랜도,
421,라폴로니드 : 관용의집,20129788,프랑스,(주)액티버스엔터테인먼트,청소년관람불가,드라마,베르트랑 보넬로,합시아 헤지|노에미 르보브스키,레아|마리-프랑스 
422,런던 블러바드,20125306,미국,(주)팝파트너스,15세이상관람가,범죄|드라마,윌리엄 모나한,콜린 파렐|키이라 나이틀리|레이 윈스톤|제이미 캠벨 바우어,
423,럼 다이어리,20129046,미국,(주)마인스 엔터테인먼트,청소년관람불가,코미디|멜로/로맨스,브루스 로빈슨,조니 뎁|아론 에크하트|엠버 허드,
424,욕정의 맛,20120025,홍콩,(주)미디어캐슬,청소년관람불가,멜로/로맨스,반원량,하문석|미쉘 여,
425,이탈리아 횡단밴드,20126623,이탈리아,오드,15세이상관람가,코미디|뮤지컬,로코 파팔레오,알레산드로 가스만|파올로 브리구그리아|로코 파팔레오|지오바나 메조기오르노,
426,차가운 열대어,20128566,일본,(주)아바엔터테인먼트 ,청소년관람불가,드라마|스릴러,소노 시온,후키코시 미츠루|덴덴|구로사와 아스카|카구라자카 메구미,
427,테드: 황금도시 파이티티를 찾아서,20129092,스페인,(주)싸이더스,전체관람가,애니메이션,엔리케 가토,하동훈|보라,테드|사라
428,화벽,20129287,중국,(주)영화사폴,12세이상관람가,판타지|멜로/로맨스|스릴러|액션|드라마,진가상,손려|덩차오|정솽|염니|유재연|사남|예성|야오천,무단
429,블라인드맨,20120152,프랑스,(주)노이에스,청소년관람불가,액션|스릴러,자비에 팔뤼,자크 검블린|램버트 윌슨,
430,조루란 시시하다,20120342,일본,(주)나우콘텐츠,청소년관람불가,성인물(에로),요시다 코우다,세리자와 타테토,
431,그녀에 대해 알고있는 모든것,20120041,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),이즈치 키슈,사사미네 아이,
432,깔깔깔 희망버스,20126011,한국,(주)씨타마운틴픽쳐스,15세이상관람가,다큐멘터리,이수정,김선미|박성미,나오는 사람들|나오는 사람들
433,나이트폴,20128832,홍콩|중국,(주)나이너스엔터테인먼트,청소년관람불가,액션|스릴러|범죄,주현량,장가휘|임달화,
434,마흔네살의 숫총각,20120282,일본,(주)나우콘텐츠,청소년관람불가,성인물(에로),이마오카 신지,타츠미 유이,
435,메리다와 마법의 숲,20127634,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,마크 앤드류스|브렌다 채프먼,켈리 맥도날드|빌리 코놀리|엠마 톰슨|강소라,메리다 공주|퍼거스 왕|엘리노 여왕|메리다 (한국어 목소리)
436,바이럴 팩터,20129587,홍콩,예지림엔터테인먼트,청소년관람불가,액션,임초현,주걸륜|사정봉,
437,섹스 주식회사,20120101,미국,(주)소나무픽쳐스,청소년관람불가,코미디|멜로/로맨스,K. 애셔 레빈,카일 갈너|사라 힐랜드|제임스 벨루시,샘|코어트니|댄 폭스
438,스시 장인: 지로의 꿈,20129286,미국,찬란,전체관람가,다큐멘터리,데이빗 겔브,오노 지로,
439,우디 앨런 : 우리가 몰랐던 이야기,20129726,미국,(주)키노아이디엠씨,15세이상관람가,다큐멘터리,로버트 B. 웨이드,우디 앨런|레티 아론슨,
440,우리도 사랑일까,20129260,캐나다,(주)티캐스트,청소년관람불가,멜로/로맨스|코미디,사라 폴리,미쉘 윌리엄스|세스 로건|루크 커비,
441,테이큰 2,20128447,프랑스,이십세기폭스코리아(주),청소년관람불가,액션|범죄|드라마,올리비에 메가턴,리암 니슨|매기 그레이스|팜케 얀센|라드 세르베드지야,
442,플래쉬운즈,20120403,미국,(주)케이알씨지,청소년관람불가,SF,댄 가르시아,케빈 소르보,테일러
443,19곰 테드,20129166,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디|판타지,세스 맥팔레인,마크 월버그|밀라 쿠니스|세스 맥팔레인,존|로리|테드
444,익스트림 No.13,20129227,미국,(주)팝파트너스,청소년관람불가,스릴러,겔라 바블루아니,제이슨 스타뎀|알렉산더 스카스가드|미키 루크|50 센트|레이 윈스톤|샘 라일리,재스퍼|잭|제퍼슨|지미|로널드 린|빈스
445,점쟁이들,20113887,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,코미디|공포(호러),신정원,김수로|오상철|강예원|이제훈|곽도원|김윤혜|양경모|임철형|임혁진|권성휘|장원욱|조인영|김남수|최상준|최정화|최홍선|박유영|함동진|함동진|현창조|김영준|이상희|이연희|김지예|이재덕|이주호|김현철|박경원|석상선|송대규|신유진|유혁준|김태훈|유순철|한제인|이병준,박선생|강북대표 호의무사|찬영|석현|심인|승희|월광|장회장|승희점집 커플남|승희점집 애로남들|울진리 마을 주민들|그 외 점쟁이들|울진리 마을 주민들|울진리 마을 주민들|인천주택가 VJ|펜션 석현방 귀신들|인천주택가VJ|그 외 점쟁이들|울진리 마을 주민들|울진리 마을 주민들|울진리 마을 주민들|울진리 마을이장|애기 보살|펜션 석현방 귀신들|그 외 점쟁이들|울진리 마을 주민들|울진리 마을 주민들|야마시타호 주방장들|울진리 마을 주민들|울진리 마을 주민들|그외점쟁이들|서울신문사 인턴기자 2|특별출연-청년 악령|나씨 노인|빙의녀|고산 선생
446,천재 사기꾼 돈: 세상을 속여라,20129366,인도,(주)영화사폴,청소년관람불가,액션|스릴러|범죄,파르한 악타르,샤룩 칸|프리얀카 초프라,
447,끌로끌로,20129866,프랑스|벨기에,(주)에스와이코마드,15세이상관람가,드라마,플로렝 에밀리오 시리,제레미 레니에|브누와 마지멜|모니카 스카티니|사브리나 세이베쿠,
448,마농,20124372,미국,(주)인스터피씨엠,전체관람가,공연,로랑 펠리,안나 네트렙코,
449,체인징사이드: 부부탐구생활,20088691,프랑스,에이원엔터테인먼트,15세이상관람가,멜로/로맨스|코미디,파스칼 포자두,소피 마르소|대니 분|앙트완 뒬레리|롤랜드 지라드|애니 듀페리,아리안 마르시악|휴고 마르시악 |모리스|아돌프|리즈
450,보디가드,20120242,인도,(주)소나무픽쳐스,15세이상관람가,액션,시디끄,살만 칸|카리나 카푸르,
451,스티브잡스:미래를 읽는 천재,20120341,미국,㈜코리아스크린,전체관람가,다큐멘터리,타라 퍼니아,살만 칸|카리나 카푸르,
452,가출소녀와 스토커,20120462,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로)|멜로/로맨스,이케다 치히로,요시이 레이,
453,닌자보이 란타로 : 삼총사의 대모험,20128866,일본,(주)머스트씨무비,전체관람가,애니메이션,코바야시 츠네오,요시이 레이,
454,루퍼,20128270,미국,(주)에스비에스콘텐츠허브,청소년관람불가,SF|액션,라이언 존슨,조셉 고든 레빗|브루스 윌리스|에밀리 블런트,
455,사랑의 침묵,20129446,영국,(주)영화사 진진,전체관람가,다큐멘터리,마이클 화이트,노팅힐 가르멜 수녀원의 수녀들,
456,서칭 포 슈가맨,20128746,스웨덴|영국,판씨네마(주),전체관람가,다큐멘터리,말릭 벤젠룰,말릭 벤젠룰|시스토 로드리게즈,
457,세컨드라도 좋아,20120461,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시다 료코,야나기 에리사,
458,스타: 빛나는 사랑,20120181,한국,(주)씨타마운틴픽쳐스,12세이상관람가,멜로/로맨스|드라마,한상희,환희|강은우|김수연|강요환|송재희|추소영|임효순|전민지|김보경|박소현|박정서|성소원|양유경,래경|여직원|민정의 STAFF|민정의 STAFF|민정의 STAFF|민정의STAFF|미키|민정의 STAFF
459,에스엠타운 라이브인도쿄스페셜에디션3D,20120561,한국,(주)에스비에스콘텐츠허브,전체관람가,공연,유호진,슈퍼주니어|보아,
460,엘르,20129886,프랑스|폴란드|독일,(주)미디어데이,청소년관람불가,드라마,마우고시카 슈모프스카,줄리엣 비노쉬|프랑수아 시빌|아나이스 드무스티에|조안나 쿠릭,플로렝
