,movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
50, 워 호스,20124099,스티븐 스필버그,10039450,미국,2012-02-09,2012-02-09,228,10906,2012-02-22,100864
51, 컷,20113721,아미르 나데리,10041990,일본,2012-02-09,2012-02-09,11,115,2012-02-22,1888
52, 토르: 마법망치의 전설,20113920,오스카 요나손|토비 젠켈|거나 칼슨,20115575|20115576|20126130,아이슬란드,2012-02-09,2012-02-09,270,7697,2012-02-22,472516
53, 팅커 테일러 솔저 스파이,20124134,토마스 알프레드슨 ,10080501,영국,2012-02-09,2012-02-09,186,11877,2012-02-22,85460
54, 고스트 라이더 : 복수의 화신,20113890,마크 네빌딘|브라이언 테일러,10024036|10031946,미국,2012-02-16,2012-02-16,240,13001,2012-02-29,117113
55, 더 그레이,20124021,조 카나한,10065143,미국,2012-02-16,2012-02-16,266,32199,2012-02-29,291858
56, 디센던트,20113981,알렉산더 페인,10044581,미국,2012-02-16,2012-02-16,113,3799,2012-02-29,45252
57, 아티스트,20113918,미셀 하자나비시우스,20126930,미국,2012-02-16,2012-02-16,90,3036,2012-02-29,60787
58, 우먼 인 블랙,20113975,제임스 왓킨스,10064256,영국,2012-02-16,2012-02-16,222,13589,2012-02-29,117036
59, 원 포 더 머니,20124023,줄리 앤 로빈슨,20126433,미국,2012-02-16,2012-02-16,142,3228,2012-02-29,26314
60, 하울링,20110249,유하,20111250,한국,2012-02-16,2012-02-16,475,103979,2012-02-29,1383195
61, 레전드 오브 래빗,20113982,순리준,20126389,중국,2012-02-22,2012-02-22,183,4663,2012-03-06,83801
62, 맨 온 렛지,20124420,애스게르 레스,10042276,미국,2012-02-22,2012-02-22,292,28012,2012-03-06,564213
63, 언더월드 4: 어웨이크닝,20124746,만스 말린드|비욘 스테인,10024905|10032348,미국,2012-02-22,2012-02-22,313,18357,2012-03-06,197066
64, 나루토 질풍전 극장판: 블러드 프리즌,20124204,무라타 마사히코,20115529,일본,2012-02-23,2012-02-23,43,1241,2012-03-07,0
65, 닌자보이 란타로 극장판 : 시끌벅적 방학숙제 대소동,20124166,후지모리 마사야,20113581,일본,2012-02-23,2012-02-23,61,1029,2012-03-07,7999
66, 더 데이,20124808,백창주,20127311,한국,2012-02-23,2012-02-23,22,4235,2012-03-07,0
67, 볼츠와 블립 ,20119424,피터 레페니오티스,20111790,한국,2012-02-23,2012-02-23,40,1294,2012-03-07,15123
68, 빅 미라클,20124011,켄 콰피스,10075936,미국,2012-02-23,2012-02-23,169,5568,2012-03-07,50968
69, 움,20124167,베네덱 플리고프,20126367,독일,2012-02-23,2012-02-23,11,165,2012-03-07,1461
